option_id,option_text_en,option_order,option_explanation_text_en,is_correct,question_id,answer_id,result_id,user_id,topic_id,legal_topic_mapping_id
1,"RM1,500",A,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9
2,"RM1,600",B,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9
3,"RM1,700",C,"Correct - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",True,1,,,,1,9
4,"RM1,800",D,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9
5,40,A,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3
6,45,B,Correct - 45 hours per week is the limit. More than this is unlawful except within OT rules .,True,2,,,,1,3
7,48,C,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3
8,60,D,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3
9,Yes,A,Incorrect - Employers cannot keep workers' passports; only proper authority can.,False,3,,,,1,10
10,No,B,Correct - Employers cannot keep workers' passports; only proper authority can.,True,3,,,,1,10
11,8,A,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11
12,10,B,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11
13,11,C,"Correct - At least 11 paid public holidays, including 5 mandatory ones.",True,4,,,,1,11
14,12,D,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,4,,,,1,11
15,60,A,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1
16,80,B,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1
17,104,C,Correct - Overtime is capped at 104 hours/month.,True,5,,,,1,1
18,120,D,Incorrect - Overtime is capped at 104 hours/month.,False,5,,,,1,1
19,Yes,A,Incorrect - A 30-minute break is required after 5 continuous hours.,False,6,,,,1,3
20,No,B,Correct - A 30-minute break is required after 5 continuous hours.,True,6,,,,1,3
21,30%,A,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2
22,40%,B,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2
23,50%,C,Correct - Total deductions cannot exceed 50% of monthly wages.,True,7,,,,1,2
24,60%,D,Incorrect - Total deductions cannot exceed 50% of monthly wages.,False,7,,,,1,2
25,Nothing,A,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4
26,It's an offence; court can order payment,B,Correct - Non-payment is an offence; authorities/courts can order payment and penalties.,True,8,,,,1,4
27,Wait longer,C,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4
28,Employer can decide,D,Incorrect - Non-payment is an offence; authorities/courts can order payment and penalties.,False,8,,,,1,4
29,Weekly,A,Incorrect - Wages must be paid at least once a month.,False,9,,,,2,12
30,Monthly,B,Correct - Wages must be paid at least once a month.,True,9,,,,2,12
31,Every 2 months,C,Incorrect - Wages must be paid at least once a month.,False,9,,,,2,12
