option_id,option_text_en,option_order,option_explanation_text_en,is_correct,question_id,answer_id,result_id,user_id,topic_id,legal_topic_mapping_id,option_explanation_text_en_ms,option_explanation_text_en_ne,option_explanation_text_en_bn,option_explanation_text_en_hi
1,"RM1,500",A,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9,"Tidak betul - Dari 1 Ogos 2025, upah bulanan minimum ialah RM1,700.","गलत - 1 Aug 2025 बाट, न्यूनतम मासिक ज्याला RM1,700 हो।","ভুল - 1 আগস্ট 2025 থেকে ন্যূনতম মাসিক মজুরি আরএম 1,700।","गलत - 1 अगस्त 2025 से, न्यूनतम मासिक मजदूरी RM1,700 है।"
2,"RM1,600",B,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9,"Tidak betul - Dari 1 Ogos 2025, upah bulanan minimum ialah RM1,700.","गलत - 1 Aug 2025 बाट, न्यूनतम मासिक ज्याला RM1,700 हो।","ভুল - 1 আগস্ট 2025 থেকে ন্যূনতম মাসিক মজুরি আরএম 1,700।","गलत - 1 अगस्त 2025 से, न्यूनतम मासिक मजदूरी RM1,700 है।"
3,"RM1,700",C,"Correct - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",True,1,,,,1,9,"Betul - Dari 1 Ogos 2025, upah bulanan minimum ialah RM1,700.","सही - 1 Aug 2025 बाट, न्यूनतम मासिक ज्याला RM1,700 हो।","সঠিক - 1 আগস্ট 2025 থেকে ন্যূনতম মাসিক মজুরি আরএম 1,700।","सही - 1 अगस्त 2025 से, न्यूनतम मासिक वेतन RM1,700 है।"
4,"RM1,800",D,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,1,,,,1,9,"Tidak betul - Dari 1 Ogos 2025, upah bulanan minimum ialah RM1,700.","गलत - 1 Aug 2025 बाट, न्यूनतम मासिक ज्याला RM1,700 हो।","ভুল - 1 আগস্ট 2025 থেকে ন্যূনতম মাসিক মজুরি আরএম 1,700।","गलत - 1 अगस्त 2025 से, न्यूनतम मासिक मजदूरी RM1,700 है।"
5,40,A,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3,Tidak betul - 45 jam seminggu adalah had. Lebih daripada ini adalah menyalahi undang -undang kecuali dalam peraturan OT.,गलत - हप्तामा hours 45 घण्टा सीमा हो। यो भन्दा बढि अवैतर भन्दा ओट नियमहरू भन्दा बाहेक हो।,ভুল - প্রতি সপ্তাহে 45 ঘন্টা সীমা। ওটি নিয়মের মধ্যে বাদে এর চেয়ে বেশি বেআইনী।,गलत - प्रति सप्ताह 45 घंटे सीमा है। इससे अधिक ओटी नियमों के अलावा गैरकानूनी है।
6,45,B,Correct - 45 hours per week is the limit. More than this is unlawful except within OT rules .,True,2,,,,1,3,Betul - 45 jam seminggu adalah had. Lebih daripada ini adalah menyalahi undang -undang kecuali dalam peraturan OT.,सही - one 45 घण्टा प्रति हप्ता hours घण्टा सीमा हो। यो भन्दा बढि अवैतर भन्दा ओट नियमहरू भन्दा बाहेक हो।,সঠিক - প্রতি সপ্তাহে 45 ঘন্টা সীমা। ওটি নিয়মের মধ্যে বাদে এর চেয়ে বেশি বেআইনী।,सही - प्रति सप्ताह 45 घंटे सीमा है। इससे अधिक ओटी नियमों के अलावा गैरकानूनी है।
7,48,C,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3,Tidak betul - 45 jam seminggu adalah had. Lebih daripada ini adalah menyalahi undang -undang kecuali dalam peraturan OT.,गलत - हप्तामा hours 45 घण्टा सीमा हो। यो भन्दा बढि अवैतर भन्दा ओट नियमहरू भन्दा बाहेक हो।,ভুল - প্রতি সপ্তাহে 45 ঘন্টা সীমা। ওটি নিয়মের মধ্যে বাদে এর চেয়ে বেশি বেআইনী।,गलत - प्रति सप्ताह 45 घंटे सीमा है। इससे अधिक ओटी नियमों के अलावा गैरकानूनी है।
8,60,D,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,2,,,,1,3,Tidak betul - 45 jam seminggu adalah had. Lebih daripada ini adalah menyalahi undang -undang kecuali dalam peraturan OT.,गलत - हप्तामा hours 45 घण्टा सीमा हो। यो भन्दा बढि अवैतर भन्दा ओट नियमहरू भन्दा बाहेक हो।,ভুল - প্রতি সপ্তাহে 45 ঘন্টা সীমা। ওটি নিয়মের মধ্যে বাদে এর চেয়ে বেশি বেআইনী।,गलत - प्रति सप्ताह 45 घंटे सीमा है। इससे अधिक ओटी नियमों के अलावा गैरकानूनी है।
9,Yes,A,Incorrect - Employers cannot keep workers' passports; only proper authority can.,False,3,,,,1,10,Tidak betul - Majikan tidak boleh menyimpan pasport pekerja; Hanya kuasa yang betul boleh.,गलत - रोजगारदाताहरूले कामदारहरूको पासपोर्ट राख्न सक्दैन; केवल उचित अख्तियारले मात्र सक्छ।,ভুল - নিয়োগকর্তারা শ্রমিকদের পাসপোর্ট রাখতে পারবেন না; শুধুমাত্র সঠিক কর্তৃপক্ষ পারে।,गलत - नियोक्ता श्रमिकों के पासपोर्ट नहीं रख सकते; केवल उचित प्राधिकरण कर सकते हैं।
10,No,B,Correct - Employers cannot keep workers' passports; only proper authority can.,True,3,,,,1,10,Betul - Majikan tidak boleh menyimpan pasport pekerja; Hanya kuasa yang betul boleh.,सही - रोजगारदाताहरूले कामदारहरूको पासपोर्ट राख्न सक्दैन; केवल उचित अख्तियारले मात्र सक्छ।,সঠিক - নিয়োগকর্তারা শ্রমিকদের পাসপোর্ট রাখতে পারবেন না; শুধুমাত্র সঠিক কর্তৃপক্ষ পারে।,सही - नियोक्ता श्रमिकों के पासपोर्ट नहीं रख सकते; केवल उचित प्राधिकरण कर सकते हैं।
