guide_topic_id,guide_topic_name,guide_summary,guide_who_is_this_for,guide_what_you_need,guide_steps,guide_legal_chckpoint,cost_n_time,prob_n_scams,whr_to_get_help,disclaimer,language_code
1,Health Insurance Basics for Migrant Workers,"Overview of SOCSO, Workmen’s Compensation Insurance (WCI), and SPIKPA hospital insurance coverage.",Migrant workers in Malaysia who want to understand what insurance covers them for medical care and work accidents. What you’ll learn The difference between SOCSO and Workmen’s Compensation Insurance (WCI). What SPIKPA hospital insurance is. What costs are usually covered.,Passport and valid work permit (PLKS). Employer details. Medical reports/receipts if making a claim.,"Check with your employer: Are you registered under SOCSO or WCI. If injured at work, tell your employer and get treatment at a panel clinic or hospital. Keep all medical reports and receipts. Employer must submit claim forms to SOCSO or Labour Office (for WCI). For hospital admission, show your SPIKPA insurance card (if provided).","Malaysian workers are covered by SOCSO. Most migrant workers are covered by Workmen’s Compensation Insurance (WCI). Both SOCSO and WCI cover workplace accidents, medical costs, disability, or death compensation. Migrant workers with valid permits also have SPIKPA hospitalisation insurance for admission in government hospitals.","SOCSO/WCI contributions are paid by employers, not workers. SPIKPA insurance premium is usually paid by employers. Medical claims processing may take weeks to months depending on case.","Employer does not register worker → without insurance, you may face high costs. Hospital asks for deposit → keep receipts to claim later from employer/insurance. Fake “agent” offers to help with claims for a fee → avoid, claims are free.","SOCSO hotline: 1-300-22-8000, Department of Labour (JTK) offices, Insurance hotline (SPIKPA provider shown on your card), NGOs like Tenaganita, MTUC, or your embassy,",This guide is for information only. Confirm your insurance status with your employer or official agencies.,EN
2,How Can My Children Get Education Here,"Documents needed, where to apply, and options if public schools are not available.",Migrant parents or guardians who want their children to study in Malaysia. What you’ll learn What documents are needed for school. Where to apply for placement. Alternatives if public school is not possible.,Child’s passport/ID. Birth certificate. Vaccination record. Parent or guardian’s ID.,Find nearby schools or learning centres. Ask the school office about eligibility and documents. Prepare copies and translations if needed. Submit the application. Keep all receipts and follow up.,Education depends on school and local rules. NGOs may provide classes if public schools are closed to you.,Application and uniforms/books may cost money. Processing time depends on the school.,Missing documents → ask school about alternatives. Language gaps → ask if support classes are available.,"Education-focused NGOs, Community learning centres, School administration offices,",This is information only. Policies differ by school and may change.,EN
3,How to Apply or Renew a Work Permit (PLKS),"Guide for migrant workers to apply or renew their yearly work permit through employer, with medical check and fees.",Migrant workers in Malaysia who need a new or renewed work permit (PLKS). What you’ll learn Why FOMEMA medical check-up is needed. What documents and payments are required. Step-by-step process for application or renewal.,Passport (valid at least 18 months). Current work permit (if renewal). Employer’s company details and quota approval. FOMEMA medical booking slip.,"Employer applies quota approval through Immigration system. Employer books FOMEMA medical check-up. Worker attends clinic with passport and booking slip. If medical result is “Fit,” employer continues application. Employer pays levy, visa fee, insurance. Immigration issues new PLKS sticker to paste in passport.","Work permit must be renewed every year, maximum 10 years. Only employer can apply; worker cannot apply alone. Medical check-up is compulsory.","Medical exam: RM180–220. Levy: RM1,850–2,500 per year (sector-based). Visa fee: RM60–110 per year (nationality-based). Time: 2–4 weeks if all documents complete.",Fake agents asking for fees → only employer can apply. Late renewal → risk of fines or deportation. Passport expiring soon → must renew before applying.,"Employer HR department, Immigration Department (JIM), FOMEMA helpline: +603-2782 8777, NGOs like Tenaganita, MTUC,",This is information only. Rules may change by sector or immigration policy.,EN
4,How to Change Jobs or Employers (Legal Procedure),"How migrant workers can legally change employers, what approvals are required, and how to avoid scams.",Migrant workers with valid PLKS who want to change employer. What you’ll learn When changing employer is legal. Steps to transfer work permit. Risks of illegal job change.,Current work permit (PLKS). Resignation or termination letter. New job offer letter.,Check if your permit allows transfer. Give notice to current employer. Get release/termination letter. New employer applies to Immigration for new permit. Start work only after permit is approved.,Changing jobs without Immigration approval is illegal. You must wait for new permit before starting new work.,Most costs paid by new employer. Time: 1–2 months depending on case.,“Agents” offering fast transfer without Immigration → illegal. Asked to pay large upfront fees → red flag. Employer asks to “escape” and join another → may lose legal status.,"Immigration Department, NGOs like Tenaganita, North South Initiative, Labour Department (JTKSM),",This is for awareness. Always confirm with Immigration before changing jobs.,EN
5,How to Find Safe and Legal Housing,"How to check housing safety, deposit rules, and avoid rental scams.",Migrant workers looking for safer or fairer rental or hostel options. What you’ll learn How to check if housing is safe. What to confirm before paying. How to avoid rental scams.,Passport copy. Work permit. Emergency contacts. Budget for rent and deposit.,"List your needs: budget, distance to work, type of room. Visit during the day; check locks, toilets, ventilation, and fire safety. Ask for written agreement: rent, deposit, utilities, house rules. Pay by traceable method, not cash if possible. Take photos of condition before moving in.","Housing must be safe, not overcrowded. You should keep your own passport.",Deposit is usually 1–2 months of rent. Finding and moving in can take a few days if documents ready.,Asked to pay deposit before viewing → red flag. No receipt → always insist on one. Illegal subletting → check who is the real owner or agent.,"Local councils’ housing units, Community groups, NGOs that track safe housing,",This is not legal advice. Always confirm terms directly with the landlord or agent.,EN
6,How to Get Emergency Medical Help (999),"How to call Malaysia’s emergency number, go to the nearest hospital, and manage urgent costs.",Migrant workers facing sudden illness or accident needing urgent help. What you’ll learn How to call Malaysia’s emergency number. Where to go for urgent medical care. What to expect for costs.,Passport/ID. Work permit. Emergency contact details. Insurance card (if available).,"Call 999 immediately for ambulance or emergency help. Go to the nearest government hospital emergency department. Provide necessary documents and explain your condition. If insured, show your card for coverage.",Hospitals must give emergency care regardless of status. Government hospitals are cheaper than private hospitals.,Emergency treatment can be expensive in private hospitals; government hospitals are lower cost. Rescue time depends on location and urgency.,Unexpected high bills → ask if costs can be covered by employer’s insurance or government subsidy. Language barrier → request interpreter support from hospital staff or NGOs.,"Government hospitals, Community clinics, NGOs,",Emergency advice and treatment must be provided by licensed medical professionals.,EN
7,How to Get Vaccinations or Preventive Care,"Where to get vaccinations, what to bring, and why preventive care is important.",Migrant workers in Malaysia who want to protect their health with vaccinations or check-ups. What you’ll learn Where to get vaccinations and screenings. What documents you need to bring. Why preventive care matters.,Passport/ID. Work permit (PLKS). Vaccination or health record (if available). Cash or insurance card for payment.,"Visit government clinics (Klinik Kesihatan, Klinik Komuniti) for vaccinations. Bring passport/permit and any vaccination card. Ask doctor which vaccines are recommended (tetanus, hepatitis, COVID-19). Request a vaccination record or certificate. Ask about preventive check-ups like blood tests or women’s health services.",Basic vaccinations are available at government clinics at low cost. Employers should not stop workers from getting healthcare. Vaccination record helps for future jobs or travel.,Government clinic vaccinations: usually under RM50. Private clinics may charge more. Time: 30–60 minutes including registration.,Fake “mobile vaccination teams” asking for cash → use only licensed clinics. Language barrier → bring friend or NGO helper. Lost vaccination card → request replacement from the clinic.,"Government health clinics, Hospitals, NGOs providing health services,",This guide is for information only. Medical advice must come from licensed healthcare providers.,EN
8,How to Open a Bank Account,"Documents usually required, how to apply step by step, and what to do if a bank branch rejects you.",Workers in Malaysia who want a safe place to keep money and receive salary. What you’ll learn What documents banks usually ask for. How to open an account step by step. What to do if a branch says “no.”,Passport. Valid work permit (PLKS). Employer letter or recent payslip. Proof of address if required (hostel letter or utility bill).,Choose 1–2 banks near your workplace or hostel. Call the branch to confirm required documents and minimum deposit. Bring originals and copies of all documents. Fill in bank forms; provide local phone number if available. Deposit the minimum amount; collect card/PIN or return when ready. Ask how to activate online banking and how to report a lost card.,Banks must follow “Know Your Customer” rules. Salary should be paid into your own account whenever possible. Requirements can differ by bank or branch.,Some accounts are free or low-fee. Minimum deposits usually RM20–RM250 depending on bank. Process takes about 30–90 minutes if documents are complete.,No proof of address → ask if employer/hostel letter is accepted. Someone offers to “sell” an account → avoid. Language barrier → bring a trusted friend or NGO helper.,"Banks’ customer service hotlines, Employer HR department, NGOs that support banking access,",This guide is for awareness only. Requirements differ by bank and may change.,EN
9,How to Protect Yourself from Scams,Common scams targeting workers and how to stay safe from losing money or documents.,"Migrant workers in Malaysia who may face scams related to jobs, money, or documents. What you’ll learn What scams look like. How to avoid losing money. Where to report if cheated.","Passport/ID. Work permit (PLKS). Bank details (keep private). Records of suspicious calls, texts, or payments.","Be alert to offers that sound too good to be true. Never give your passport, ATM card, or PIN to anyone. Check if money transfer or job agency is licensed. Always ask for receipts. Report scams to police or NGO.",Only licensed recruitment agents and money services are legal. Employers cannot charge extra fees for work permits. It is illegal for employers or agents to keep your passport.,Reporting to police or NGOs is free. Bank or legal cases may take weeks or months.,Underground money transfer → illegal and risky. Fake job offers asking for upfront payment. Loan sharks promising easy money but with high interest.,"Police hotline: 999, Bank customer service lines, NGOs like Tenaganita, NSI, MTUC, Your embassy/consulate,",This is for awareness only. Always confirm services are licensed.,EN
10,How to Report Unpaid or Deducted Wages,"Steps to confirm illegal deductions, keep evidence, and file complaint with Labour Department (JTK).","Migrant workers who face unpaid, delayed, or deducted wages. What you’ll learn How to check if deductions are legal. How to collect and keep evidence. How to report to JTK or NGOs.","Work contract copy. Salary slips or transfer records. Attendance/overtime records. Employer communication (WhatsApp, letters).","Check contract if deduction is written and legal. Ask employer politely in writing, keep record. Collect all evidence of unpaid or deducted wages. Contact NGO or union for advice. Report to Labour Department (JTK) with documents.",Employment Act 1955 says wages must be paid on time. Employer cannot deduct without worker’s consent or legal reason. Workers can report without risk of dismissal.,Complaint is free. Case may take weeks or months.,Employer delays payment → set clear deadline. Unlisted deductions → illegal. Fake agents offer help for money → avoid.,"Labour Department (JTKSM), NGOs like Tenaganita, MTUC, Community legal aid centres,","This is awareness only. For legal cases, consult JTK or legal experts.",EN
11,How to See a Doctor,"Where to find affordable clinics, what to bring, and when you may need to pay deposit for treatment.","Anyone needing basic healthcare, affordable clinics, or help in their language. What you’ll learn How to find a clinic that suits your budget and language. What to bring and what to ask before you go. What to do for work injuries.",Passport/ID. Any medical card/insurance details. Cash or accepted payment method.,"Search for nearby clinics/hospitals; check language and fees by phone. Bring ID and any current medications or allergy info. At the clinic, ask for a receipt and diagnosis note. Follow the prescription; keep all documents safely.","If the injury/illness is work-related, ask your employer about the proper insurance/SOCSO claim process and approved panel clinics.","Government clinics are usually cheaper; private clinics vary (foreign workers ~RM40–60 at government clinics). Private clinics usually charge consultation + medicine at the end; no deposit. Private hospitals may ask for a deposit if you are admitted for surgery or inpatient care. Work injury cases should be covered by employer insurance, but sometimes you may need to pay first and claim later. Waiting time depends on clinic and time of day.",Unexpected high bill → ask for fee ranges by phone first. Language issues → request a translator or bring a friend/NGO helper.,"Community clinics, Hospital social work units, Health-focused NGOs,",Medical guidance must come from licensed providers. This guide is informational only.,EN
12,How to Send Money Home (Remittances),"Safe and legal ways to send money, what documents you need, and how to avoid unlicensed “underground” channels.",Migrant workers in Malaysia who want to safely send money to their families in their home country. What you’ll learn How to choose safe and legal money transfer channels. What documents you need for remittance. What to watch out for with fees and scams.,"Passport/ID. Valid work permit (PLKS). Bank account or cash. Recipient’s name, bank details, or mobile wallet number.","Compare legal remittance services (banks, licensed money transfer operators, mobile apps). Check transfer fees and exchange rates before sending. Bring required documents (passport, permit, cash or card). Fill in transfer form with recipient details; check spelling and account number. Keep the receipt and tracking number until family confirms receipt.",Only use licensed banks or registered money transfer operators. Avoid using underground or unlicensed agents. Malaysia sets limits on how much can be sent; check with the service.,Fees usually RM10–RM40 per transfer. Exchange rates affect how much family receives. Transfer time can be instant to 3 working days.,Unlicensed agent offers better rates → risk of losing all money. Wrong recipient details → may delay or lose money. Hidden charges → always ask for total fee.,"Licensed transfer operators (Western Union, Merchantrade, Valyou), Banks in Malaysia (Maybank, CIMB, RHB), NGOs or community groups,",This guide is for information only. Always use licensed providers.,EN
13,Reporting Abuse or Harassment at Work,"Steps for migrant workers to deal with physical, verbal, or sexual abuse and report safely.",Migrant workers facing mistreatment or harassment at the workplace. What you’ll learn What counts as abuse or harassment. How to document and report incidents. Who can support you.,"Incident details (date, time, place). Witness names (if any). Photos, messages, or medical report (if safe to collect).","Stay safe first; leave dangerous situation if possible. Record what happened (notes, photos, messages). Tell a trusted person, NGO, or union. Report to Labour Department, SUHAKAM, or police. Seek medical help if injured.",All workers have the right to be safe at work. Physical or sexual abuse is a crime. Employers cannot retaliate if you report.,Reporting to NGOs or Labour Department is free. Police or legal cases may take longer.,Employer threatens deportation → you still have rights. Fake “agents” asking money to file report → avoid.,"Police hotline: 999, Labour Department (JTKSM), Human Rights Commission (SUHAKAM), NGOs like Tenaganita, NSI,","This is for awareness only. For urgent danger, call police immediately.",EN
14,What to Do for Work Injuries,"What to do right after an accident at work, and how SOCSO or Workmen’s Compensation Insurance can help.",Migrant workers in Malaysia who experience accidents or injuries while working. What you’ll learn What to do immediately after a workplace accident. How SOCSO or Workmen’s Compensation Insurance (WCI) protects you. What documents you need for a claim.,Passport/ID. Work permit. Employer details. Medical report/receipts. Accident report.,Tell your supervisor or employer immediately after the injury. Go to the nearest panel clinic or hospital (bring passport/permit). Get a medical report and keep all receipts. Employer must report the accident to SOCSO or the Labour Office within 48 hours. Follow up with employer/clinic about insurance coverage.,"Malaysian workers are covered under SOCSO. Most migrant workers are covered under Workmen’s Compensation Insurance (WCI). Both cover workplace accidents, medical costs, disability, or death compensation. Workers should not have to pay deposit for work injuries, but if asked, keep all receipts for claims.",Medical treatment for work injuries should be covered by employer’s insurance. Claim processing may take weeks to months depending on case.,"Employer refuses to report accident → keep evidence and contact Labour Office/NGO. Hospital asks worker to pay → always keep receipts for reimbursement. Fake “agent” offers to help with claims for a fee → avoid, claims are free.","SOCSO hotline: 1-300-22-8000, Department of Labour (JTK) offices, NGOs like Tenaganita, MTUC, or your embassy,",This guide is for information only. Official claims must follow SOCSO or Labour Department procedures.,EN
15,What to Do if You Are Arrested or Detained,Simple steps to follow if stopped or detained by police or immigration in Malaysia.,Migrant workers who may face police or immigration checks. What you’ll learn What to carry to avoid problems. What to do if taken to a station. Who you can call for help.,"Passport or certified copy. Work permit (PLKS). Phone numbers of employer, embassy, NGO.","Stay calm and show your passport/permit if asked. If detained, ask the reason and keep any document given. Request to call your employer, embassy, or NGO. Do not sign papers you do not understand.",You have the right to know why you are detained. You can contact your embassy or lawyer. Officers must show ID.,Detention time varies by case. Embassy and NGO support is free.,Fake officers asking for money → check ID. Employer refuses to help → call embassy or NGO.,"Your embassy/consulate, Labour rights NGOs like Tenaganita, NSI, SUHAKAM (Human Rights Commission),",This guide is for awareness only. Legal cases may differ.,EN
16,What to Do if You Lose Your Passport,Steps to report a lost passport and apply for replacement through your embassy.,Migrant workers in Malaysia who lost or had their passport stolen. What you’ll learn What to do immediately after losing a passport. Where to report and apply for replacement. What documents are required.,Copy of old passport if available. Work permit (PLKS). Police loss report. Passport photos.,Confirm passport is lost. Report at nearest police station within 24 hours. Tell your employer and keep a copy of the report. Go to your embassy with report and documents. Apply for replacement or temporary document. Update Immigration with new passport details.,Workers must carry passport or certified copy. Police report is needed before embassy issues a new passport. Employers should not punish workers for accidental loss.,Police report is free or low cost. Replacement passport fee depends on nationality. Processing time: 1–4 weeks.,Fake agents offering fast passport service → only embassy can issue. Employer refuses to help → embassy or NGOs can support. Lost both passport and permit → Immigration can re-stamp with new passport.,"Nearest police station, Your embassy or consulate, Immigration Department, NGOs like Tenaganita, NSI,",This is for awareness only. Always confirm requirements with your embassy.,EN
