"org_id","org_name","service_type","org_email","org_descr_en","state_code","org_url","org_phone_no","org_address","operation_hour","org_en","tag","tag_ms","tag_ne","tag_bn","tag_hi","service_type_ms","service_type_ne","service_type_bn","service_type_hi","org_descr_en_ms","org_descr_en_ne","org_descr_en_bn","org_descr_en_hi"
"1","Doctors Without Borders","Health & Wellbeing","info@apac.msf.org","Medical care and outreach for undocumented migrants in malaysia, with mobile clinics, they can send you to hospital and mental-health support","7","https://doctorswithoutborders-apac.org/en","No contact number","Mobile clinics - locations vary by schedule across Penang (see programme notices).","Clinic schedules announced online","Doctors Without Borders","Support group, Mobile clinic, Community health, Refugee help, Asylum seekers, Undocumented, Counseling, Outreach, Free","Kumpulan sokongan, klinik mudah alih, kesihatan komuniti, bantuan pelarian, pencari suaka, tidak berdokumen, kaunseling, jangkauan, percuma","समर्थन समूह, मोबाइल क्लिनिक, सामुदायिक स्वास्थ्य, शरणार्थी मद्दत, शरणार्थीहरू, परामर्श, परामर्श, परामर्श, नि: शुल्क","সমর্থন গোষ্ঠী, মোবাইল ক্লিনিক, কমিউনিটি হেলথ, শরণার্থী সহায়তা, আশ্রয়প্রার্থী, অনিবন্ধিত, কাউন্সেলিং, আউটরিচ, বিনামূল্যে","सहायता समूह, मोबाइल क्लिनिक, सामुदायिक स्वास्थ्य, शरणार्थी सहायता, शरण चाहने वालों, अनिर्दिष्ट, परामर्श, आउटरीच, मुक्त","Kesihatan & Kesejahteraan","स्वास्थ्य र हेलोबिंग","স্বাস্থ্য ও সুস্থতা","स्वास्थ्य और भलाई","Penjagaan perubatan dan jangkauan untuk pendatang tanpa izin di Malaysia, dengan klinik mudah alih, mereka boleh menghantar anda ke hospital dan sokongan kesihatan mental","मेडिकल हेरचाह र मलेसियामा अन्डुक्टेड रेजिन्टहरू, मोबाइल क्लिनिकका साथ, तिनीहरूले तपाईंलाई अस्पताल र मानसिक स्वास्थ्य समर्थन पठाउन सक्दछन्।","মোবাইল ক্লিনিকগুলি সহ মালয়েশিয়ায় অনিবন্ধিত অভিবাসীদের জন্য চিকিত্সা যত্ন এবং প্রচার, তারা আপনাকে হাসপাতাল এবং মানসিক-স্বাস্থ্য সহায়তায় প্রেরণ করতে পারে","मलेशिया में अनिर्दिष्ट प्रवासियों के लिए चिकित्सा देखभाल और आउटरीच, मोबाइल क्लीनिक के साथ, वे आपको अस्पताल और मानसिक-स्वास्थ्य सहायता के लिए भेज सकते हैं"
"2","FWCMS One Stop Center (Putrajaya)","Work","bestinetintls@gmail.com","Centralised online system for foreign worker recruitment and permits (quota, calling visa, permit renewal, exit memo). Worker-facing at fssc: ecomplaints for employer abuse","16","https://fwcms.com.my/","+603-868 9282","A2-1-1, 1st Floor, Kompleks Perniagaan Ayer@8, Jalan P8G, Presint 8, 62000 Putrajaya, Malaysia.","Monday-Friday 09:00-18:00","FWCMS One Stop Center (Putrajaya)","eVDR, ePLKS, eCOM, eComplaints, eWages, Employer process, Hotline, Appointment","EVDR, EPLKS, ECOM, ECOMPLAINTS, EWAGES, PROSES MEMBACA, HOTLINE, TEMPATAN","इभम, EPLKs, ECK, EMPLESTS, ewles, रोजगारदाता प्रक्रिया, हटलाइन, नियुक्ति","ইভিডিআর, ইপিএলএসএস, ইকোম, ইকামেন্টস, ইওজেজস, নিয়োগকর্তা প্রক্রিয়া, হটলাইন, অ্যাপয়েন্টমেন্ট","EVDR, EPLKS, ECOM, Ecomplaints, Ewages, नियोक्ता प्रक्रिया, हॉटलाइन, नियुक्ति","Bekerja","काम","কাজ","काम","Sistem dalam talian berpusat untuk pengambilan dan permit pekerja asing (kuota, panggilan visa, pembaharuan permit, memo keluar). Pekerja-pekerja di FSSC: Ecomplaints untuk Penyalahgunaan Majikan","विदेशी कार्यकर्ता भर्ती र अनुमतिको लागि केन्द्रीकृत अनलाइन प्रणाली (कोटा, भिसालाई नविकरण, नवीकरण गर्नुहोस्, निकास मेमो)। श्रमिक-अनुहार एफएसएससी मा अनुहार: रोजगार दुरुपयोग को लागी empless","বিদেশী কর্মী নিয়োগ এবং পারমিটের জন্য কেন্দ্রীভূত অনলাইন সিস্টেম (কোটা, কলিং ভিসা, পারমিট পুনর্নবীকরণ, প্রস্থান মেমো)। এফএসএসসিতে কর্মী-মুখোমুখি: নিয়োগকর্তা নির্যাতনের জন্য একচক্রে","विदेशी कार्यकर्ता भर्ती और परमिट के लिए केंद्रीकृत ऑनलाइन प्रणाली (कोटा, कॉलिंग वीजा, परमिट नवीकरण, निकास मेमो)। FSSC में कार्यकर्ता-सामना: नियोक्ता के दुरुपयोग के लिए Ecomplaints"
"3","Food Aid Foundation","Other Support","info@foodaidfoundation.org","Malaysian non-profit food bank rescuing surplus food from companies and individuals, and redistributing it to welfare homes, refugee communities, low-income families, the homeless, and soup kitchens","14","http://foodaidfoundation.org/","+603-922 6550","No. 9 Jalan 7/118B, Desa Tun Razak, Cheras, â 56000 Kuala Lumpur, Malaysia","Monday-Friday 09:00-17:00; Saturday 09:00-13:00","Food Aid Foundation","NGO, Support group, Food aid, Food support, Community help, Free","NGO, Kumpulan Sokongan, Bantuan Makanan, Sokongan Makanan, Bantuan Masyarakat, Percuma","एनजीओ, समर्थन समूह, खाद्य सहायता, खाद्य समर्थन, सामुदायिक मद्दत, नि: शुल्क","এনজিও, সমর্থন গ্রুপ, খাদ্য সহায়তা, খাদ্য সহায়তা, সম্প্রদায় সহায়তা, বিনামূল্যে","एनजीओ, सहायता समूह, खाद्य सहायता, खाद्य सहायता, सामुदायिक सहायता, मुफ्त","Sokongan lain","अन्य सहयोग","অন্যান্য সমর্থন","अन्य समर्थन","Bank Makanan Bukan Keuntungan Malaysia Menyelamatkan Makanan Lebihan dari Syarikat dan Individu, dan Mengedarkannya ke Rumah Kebajikan, Komuniti Pelarian, Keluarga berpendapatan Rendah, Kitchens Tanpa Besar, dan Sup","मलेशियन गैर नाफायुक्त खाना बैंकले कम्पनीहरूलाई कम्पनीहरू र व्यक्तिबाट बचत गर्यो, र यसले कल्याणकारी घरहरू, घरबारविहीन, र सूप भाँडामा पुन: वितरण गर्दै।","মালয়েশিয়ার অলাভজনক খাদ্য ব্যাংক সংস্থাগুলি এবং ব্যক্তিদের কাছ থেকে উদ্বৃত্ত খাবার উদ্ধার করে এবং এটি কল্যাণমূলক বাড়ি, শরণার্থী সম্প্রদায়, স্বল্প আয়ের পরিবার, গৃহহীন এবং স্যুপ রান্নাঘরে পুনরায় বিতরণ করে","मलेशियाई गैर-लाभकारी खाद्य बैंक कंपनियों और व्यक्तियों से अधिशेष भोजन को बचाते हैं, और इसे कल्याणकारी घरों, शरणार्थी समुदायों, कम आय वाले परिवारों, बेघर और सूप रसोई के लिए पुनर्वितरित करते हैं"
"4","Foreign Spouses Support Group, Malaysia","Other Support","community@familyfrontiers.org","Malaysian support group established in 2009 to advance and protect the rights of foreign spouses of malaysian citizens and their children. Provides advocacy, peer support, and guidance on legal status, residency, and family welfare","10","https://www.facebook.com/FSSGMY/","No contact number","Online-based (no physical office)  ","No information available, contact for more detail","Foreign Spouses Support Group, Malaysia","NGO, Support group, Support, Legal help, Family support, Free","NGO, Kumpulan Sokongan, Sokongan, Bantuan Undang -Undang, Sokongan Keluarga, Percuma","एनजीओ, समर्थन समूह, समर्थन, कानूनी मद्दत, पारिवारिक समर्थन, नि: शुल्क","এনজিও, সমর্থন গ্রুপ, সমর্থন, আইনী সহায়তা, পরিবার সহায়তা, বিনামূল্যে","एनजीओ, सहायता समूह, समर्थन, कानूनी सहायता, परिवार सहायता, मुफ्त","Sokongan lain","अन्य सहयोग","অন্যান্য সমর্থন","अन्य समर्थन","Kumpulan Sokongan Malaysia ditubuhkan pada tahun 2009 untuk memajukan dan melindungi hak pasangan asing warga Malaysia dan anak -anak mereka. Memberi sokongan, sokongan rakan sebaya, dan bimbingan mengenai status undang -undang, kediaman, dan kebajikan keluarga","मलेशियन नागरिकहरू र उनीहरूका बच्चाहरूको वैदेशिक पति वा पत्नीको अधिकारको लागि र संरक्षण गर्न मलेशियन समर्थन समूह स्थापना गर्ने। वकालत, साथीलाई समर्थन, र कानूनी स्थिति, रेसिडेन्सी, र परिवार कल्याणको बारेमा निर्देशन प्रदान गर्दछ","মালয়েশিয়ার নাগরিক এবং তাদের বাচ্চাদের বিদেশী স্বামী / স্ত্রীদের অধিকারকে এগিয়ে নিয়ে ও সুরক্ষার জন্য ২০০৯ সালে মালয়েশিয়ার সহায়তা গ্রুপ প্রতিষ্ঠিত হয়েছিল। আইনী অবস্থা, আবাস এবং পারিবারিক কল্যাণ সম্পর্কে অ্যাডভোকেসি, পিয়ার সমর্থন এবং গাইডেন্স সরবরাহ করে","मलेशियाई सहायता समूह ने 2009 में मलेशियाई नागरिकों और उनके बच्चों के विदेशी जीवनसाथी के अधिकारों को आगे बढ़ाने और उनकी रक्षा के लिए स्थापित किया। वकालत, सहकर्मी समर्थन और कानूनी स्थिति, निवास और परिवार कल्याण पर मार्गदर्शन प्रदान करता है"
"5","General Federation of Nepalese Trade Unions (GEFONT)","Work","dfa@gefont.org","Nepal's largest trade union group established in 1989, representing over 449,000 workers across agriculture, industry, and help. GEFONT advocates for labour rights, union organising, and migrant worker protection, and is affiliated with international trade union bodies including ituc","10","https://gefont.org/","+977 1-4168000","P82C+XJH, Kathmandu 44600, Nepal","Monday-Sunday 09:00-17:00","General Federation of Nepalese Trade Unions (GEFONT)","Union, Support, Worker rights, Worker protection, Nepalese migrant focus","Kesatuan, Sokongan, Hak Pekerja, Perlindungan Pekerja, Fokus Migran Nepal","संघ, समर्थन, श्रमिक अधिकार, रबरर संरक्षण, नेपाली आर्जन फोकस","ইউনিয়ন, সহায়তা, শ্রমিক অধিকার, শ্রমিক সুরক্ষা, নেপালি অভিবাসী ফোকাস","संघ, समर्थन, कार्यकर्ता अधिकार, कार्यकर्ता संरक्षण, नेपाली प्रवासी फोकस","Bekerja","काम","কাজ","काम","Kumpulan kesatuan sekerja terbesar Nepal yang ditubuhkan pada tahun 1989, yang mewakili lebih 449,000 pekerja di seluruh pertanian, industri, dan bantuan. Gefont Advocates untuk Hak Buruh, Penganjuran Kesatuan, dan Perlindungan Pekerja Migran, dan berafiliasi dengan badan kesatuan sekerja antarabangsa termasuk ITUC","सन् 1 198. In मा नेपालको सबैभन्दा ठूलो ट्रेड युनियन समूहले कृषि, उद्योग र मद्दतका लागि 44 44,000 भन्दा बढी कामदारहरूलाई प्रतिनिधित्व गर्दै। जिफन्टले श्रम अधिकार, संघ आयोजन, र प्रवासी कार्यकर्ता संरक्षण, र यस सहित अन्तर्राष्ट्रिय ट्रेड युनियन निकायहरूको साथ सम्बद्ध छ","নেপালের বৃহত্তম ট্রেড ইউনিয়ন গ্রুপ 1989 সালে প্রতিষ্ঠিত, কৃষি, শিল্প এবং সহায়তা জুড়ে 449,000 এরও বেশি শ্রমিকের প্রতিনিধিত্ব করে। গেফন্ট শ্রম অধিকার, ইউনিয়ন সংগঠিতকরণ এবং অভিবাসী শ্রমিক সুরক্ষার পক্ষে পরামর্শ দেয় এবং আইটিইউসি সহ আন্তর্জাতিক ট্রেড ইউনিয়ন সংস্থার সাথে যুক্ত","नेपाल का सबसे बड़ा ट्रेड यूनियन समूह 1989 में स्थापित हुआ, जो कृषि, उद्योग और मदद के दौरान 449,000 से अधिक श्रमिकों का प्रतिनिधित्व करता है। Gefont श्रम अधिकारों, संघ के आयोजन, और प्रवासी कार्यकर्ता संरक्षण के लिए वकालत करता है, और ITUC सहित अंतर्राष्ट्रीय ट्रेड यूनियन निकायों से संबद्ध है"
"6","Health Equity Initiatives (HEI)","Health & Wellbeing","Not available, please contact via phone number","Malaysian support group providing free, in your language physical and mental health help-including counselling, health advice, and community outreach-for refugees, asylum seekers, and migrant workers. Hei also engages in advocacy and research to promote equitable healthcare access","14","https://www.healthequityinitiatives.org/","+603-227 2495","26-1A, Jalan Vivekananda, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Monday-Friday 09:00-18:00","Health Equity Initiatives (HEI)","NGO, Support group, Health, Counseling, Support, Free","NGO, Kumpulan Sokongan, Kesihatan, Kaunseling, Sokongan, Percuma","एनजीओ, समर्थन समूह, स्वास्थ्य, सल्लाह, समर्थन, नि: शुल्क","এনজিও, সমর্থন গ্রুপ, স্বাস্থ্য, পরামর্শ, সমর্থন, বিনামূল্যে","एनजीओ, सहायता समूह, स्वास्थ्य, परामर्श, समर्थन, मुफ्त","Kesihatan & Kesejahteraan","स्वास्थ्य र हेलोबिंग","স্বাস্থ্য ও সুস্থতা","स्वास्थ्य और भलाई","Kumpulan Sokongan Malaysia yang menyediakan bantuan kesihatan fizikal dan mental bahasa anda termasuk kaunseling, nasihat kesihatan, dan jangkauan komuniti-untuk pelarian, pencari suaka, dan pekerja asing. HEI juga terlibat dalam advokasi dan penyelidikan untuk mempromosikan akses penjagaan kesihatan yang saksama","मलेशियन समर्थन समूह नि: शुल्क प्रदान गर्दै तपाईंको भाषा शारीरिक र मानसिक स्वास्थ्य मद्दत मद्दत, परामर्श, स्वास्थ्य सल्लाह, र समुदायको लागि। हेई पनि वकालतमा सम्मिलित र अनुसन्धानमा सर्वाधिक लाभदायक पहुँचको प्रचार गर्न अनुसन्धान गर्छन्","মালয়েশিয়ার সহায়তা গোষ্ঠী আপনার ভাষায় শারীরিক ও মানসিক স্বাস্থ্য সহায়তা সহ পরামর্শ, স্বাস্থ্য পরামর্শ এবং শরণার্থী, আশ্রয়প্রার্থী এবং অভিবাসী শ্রমিকদের জন্য সম্প্রদায়ের প্রচারে বিনামূল্যে সরবরাহ করে। ইক্যুয়েবল হেলথ কেয়ার অ্যাক্সেস প্রচারের জন্য এইচআইআই অ্যাডভোকেসি এবং গবেষণায় জড়িত","मलेशियाई सहायता समूह मुफ्त प्रदान करता है, आपकी भाषा में शारीरिक और मानसिक स्वास्थ्य सहायता-परामर्श, स्वास्थ्य सलाह, और सामुदायिक आउटरीच-फॉर शरणार्थी, शरण चाहने वालों और प्रवासी श्रमिकों में। HEI भी समान स्वास्थ्य देखभाल पहुंच को बढ़ावा देने के लिए वकालत और अनुसंधान में संलग्न है"
"7","Integrated Health Outreach Project","Health & Wellbeing","mlslu@unhcr.org","Primary care and community health support for refugees/asylum-seekers via UNHCR partners (e.g., Malaysian Relief Agency).","14","https://refugeemalaysia.org/support-2/health-services/","+603-211 8480","570 Jalan Bukit Petaling, 50460 Kuala Lumpur, Malaysia","No information available, contact for more detail","Integrated Health Outreach Project","NGO, Support group, Mobile clinic, Primary care, Health screening, Outreach, Low cost, Walk-in, Free","NGO, kumpulan sokongan, klinik mudah alih, penjagaan primer, pemeriksaan kesihatan, jangkauan, kos rendah, berjalan kaki, percuma","एनजीओ, समर्थन समूह, मोबाइल क्लिनिक, प्राथमिक हेरचाह, स्वास्थ्य स्क्रीनिंग, आउटरीच, कम लागत, कम लागत, कम लागत, एक नि: शुल्क","এনজিও, সমর্থন গ্রুপ, মোবাইল ক্লিনিক, প্রাথমিক যত্ন, স্বাস্থ্য স্ক্রিনিং, আউটরিচ, কম ব্যয়, ওয়াক-ইন, বিনামূল্যে","एनजीओ, सहायता समूह, मोबाइल क्लिनिक, प्राथमिक देखभाल, स्वास्थ्य स्क्रीनिंग, आउटरीच, कम लागत, वॉक-इन, मुफ्त","Kesihatan & Kesejahteraan","स्वास्थ्य र हेलोबिंग","স্বাস্থ্য ও সুস্থতা","स्वास्थ्य और भलाई","Penjagaan utama dan sokongan kesihatan masyarakat untuk pelarian/pencari suaka melalui rakan kongsi UNHCR (mis., Agensi Relief Malaysia).","शरणार्थी / शरणार्थीहरूको लागि प्राथमिक हेरचाह र सामुदायिक स्वास्थ्य समर्थन Unhcr पार्टनरहरू (E.g., मलेशियन राहत एजेन्सी)।","ইউএনএইচসিআর অংশীদারদের (যেমন, মালয়েশিয়ার ত্রাণ সংস্থা) এর মাধ্যমে শরণার্থী/আশ্রয়-সন্ধানকারীদের জন্য প্রাথমিক যত্ন এবং সম্প্রদায় স্বাস্থ্য সহায়তা।","UNHCR भागीदारों (जैसे, मलेशियाई राहत एजेंसी) के माध्यम से शरणार्थियों/शरण-चाहने वालों के लिए प्राथमिक देखभाल और सामुदायिक स्वास्थ्य सहायता।"
"8","Jabatan Bantuan Guaman Gua Musang","Legal Aid","suriani.rashid@jbg.gov.my","Legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via jbg offices","3","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+609-912 3688","Lot 6, Tingkat 1, Bangunan Tabung Haji, Bandar Baru Gua Musang, 18300 GUA MUSANG, KELANTAN","No information available, contact for more detail","Legal Aid Department Gua Musang (Jabatan Bantuan Guaman Gua Musang)","Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी मद्दत, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा बढी देश, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी मदद, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना","Bantuan undang -undang","कानुनी सहायता","আইনী সহায়তা","वैध सहायता","Bantuan undang -undang dan peguam bebas untuk kanak -kanak untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang). Nasihat dan mereka boleh menghantar anda ke hospital melalui pejabat JBG","कानूनी सहायता र आपराधिक अवस्थाका लागि बच्चाहरूको लागि नि: शुल्क वकीलहरु को लागी, नागरिकता को परवाह बिना (प्रति 20225 कानून अपडेट)। सल्लाह र तिनीहरू तपाईंलाई ल्याब अफ अफ अफ अफ अफ अफ अफ अफ अफ अफ गर्न मद्दत गर्न सक्छन्","জাতীয়তা নির্বিশেষে (প্রতি 2025 আইন আপডেট) নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য শিশুদের জন্য আইনী সহায়তা এবং নিখরচায় আইনজীবী। পরামর্শ এবং তারা আপনাকে জেবিজি অফিসগুলির মাধ্যমে হাসপাতালে পাঠাতে পারে","राष्ट्रीयता की परवाह किए बिना, आपराधिक मामलों में बच्चों के लिए बच्चों के लिए कानूनी सहायता और मुक्त वकील (2025 कानून अपडेट)। सलाह और वे आपको JBG कार्यालयों के माध्यम से अस्पताल भेज सकते हैं"
"9","Jabatan Bantuan Guaman Ibu Pejabat (JBG) ","Legal Aid","fuad.aziz@jbg.gov.my","Headquarters for legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via JBG offices","16","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+603-888 5182","Aras 1, Bangunan Hal Ehwal Undang Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692, Wilayah Persekutuan Putrajaya.","Monday-Friday 08:30-16:00","Legal Aid Department Headquarters (Jabatan Bantuan Guaman Ibu Pejabat (JBG))","Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी मद्दत, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा बढी देश, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी मदद, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना","Bantuan undang -undang","कानुनी सहायता","আইনী সহায়তা","वैध सहायता","Ibu pejabat bantuan undang -undang dan peguam bebas untuk kanak -kanak untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang). Nasihat dan mereka boleh menghantar anda ke hospital melalui pejabat JBG","मुख्यतया कानूनी सहायता र आपराधिक समूहका बच्चाहरूको लागि मुख्यालयका लागि मुख्यालयका लागि, राष्ट्रियता बिना बच्चा (प्रति 2025 5 कानून अद्यावधिकहरू)। सल्लाह र तिनीहरू तपाईंलाई ल्याब अफ अफ अफ अफ अफ अफ अफ अफ अफ अफ गर्न मद्दत गर्न सक्छन्","জাতীয়তা নির্বিশেষে (প্রতি 2025 আইন আপডেট) নির্বিশেষে আইনী সহায়তা এবং ফৌজদারি মামলায় শিশুদের জন্য বিনামূল্যে আইনজীবীদের জন্য সদর দফতর। পরামর্শ এবং তারা আপনাকে জেবিজি অফিসগুলির মাধ্যমে হাসপাতালে পাঠাতে পারে","कानूनी सहायता के लिए मुख्यालय और आपराधिक मामलों में बच्चों के लिए बच्चों के लिए मुफ्त वकील, राष्ट्रीयता की परवाह किए बिना (2025 कानून अपडेट के अनुसार)। सलाह और वे आपको JBG कार्यालयों के माध्यम से अस्पताल भेज सकते हैं"
"10","Jabatan Bantuan Guaman Johor","Legal Aid","aidatulazura@jbg.gov.my","Legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via JBG offices","1","https://www.jbg.gov.my/index.php/en/services/legal-aid-services","+607-223 4960","Lot L4-01, Tingkat 4, Menara Landmark, No.12, Jalan Ngee Heng, 80000 Johor Baharu, JOHOR","Sunday-Wednesday 08:00-16:00; Thursday 08:00-15:30","Legal Aid Department Johor (Jabatan Bantuan Guaman Johor)","Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी मद्दत, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा बढी देश, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी मदद, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना","Bantuan undang -undang","कानुनी सहायता","আইনী সহায়তা","वैध सहायता","Bantuan undang -undang dan peguam bebas untuk kanak -kanak untuk kanak -kanak dalam kes jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang). Nasihat dan mereka boleh menghantar anda ke hospital melalui pejabat JBG","कानूनी सहायता र आपराधिक अवस्थाका लागि बच्चाहरूको लागि नि: शुल्क वकीलहरु को लागी, नागरिकता को परवाह बिना (प्रति 20225 कानून अपडेट)। सल्लाह र तिनीहरू तपाईंलाई ल्याब अफ अफ अफ अफ अफ अफ अफ अफ अफ अफ गर्न मद्दत गर्न सक्छन्","জাতীয়তা নির্বিশেষে (প্রতি 2025 আইন আপডেট) নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য শিশুদের জন্য আইনী সহায়তা এবং নিখরচায় আইনজীবী। পরামর্শ এবং তারা আপনাকে জেবিজি অফিসগুলির মাধ্যমে হাসপাতালে পাঠাতে পারে","राष्ट्रीयता की परवाह किए बिना, आपराधिक मामलों में बच्चों के लिए बच्चों के लिए कानूनी सहायता और मुक्त वकील (2025 कानून अपडेट)। सलाह और वे आपको JBG कार्यालयों के माध्यम से अस्पताल भेज सकते हैं"
