question_id,question_text_en,question_type,question_order,is_active,created_at,legal_topic_mapping_id,question_text_en_ms,question_text_en_ne,question_text_en_bn,question_text_en_hi
1,What is the minimum monthly wage in Malaysia from Aug 2025?,multiple_choice,1,,,9,Apakah gaji bulanan minimum di Malaysia dari Ogos 2025?,Aug 20225 बाट मलेसियामा न्यूनतम मासिक ज्याला के हो?,2025 আগস্ট থেকে মালয়েশিয়ায় ন্যূনতম মাসিক মজুরি কত?,अगस्त 2025 से मलेशिया में न्यूनतम मासिक मजदूरी क्या है?
2,Maximum weekly working hours allowed?,multiple_choice,2,,,3,Waktu kerja mingguan maksimum dibenarkan?,अधिकतम साप्ताहिक काम गर्ने घण्टा अनुमति दिइयो?,সর্বাধিক সাপ্তাহিক কাজের সময় অনুমোদিত?,अधिकतम साप्ताहिक काम के घंटों की अनुमति है?
3,"Your employer keeps your passport for ""safety"". Is this legal?",true_false,3,,,10,"Majikan anda menyimpan pasport anda untuk ""keselamatan"". Adakah ini sah?","तपाईंको रोजगारदाताले तपाईंको पासपोर्ट ""सुरक्षा"" को लागि राखिन्छ। के यो कानूनी छ?","আপনার নিয়োগকর্তা ""সুরক্ষা"" জন্য আপনার পাসপোর্ট রাখে। এটা কি আইনী?","आपका नियोक्ता ""सुरक्षा"" के लिए आपका पासपोर्ट रखता है। क्या यह कानूनी है?"
4,How many paid public holidays must you get each year?,multiple_choice,4,,,11,Berapa banyak cuti umum yang perlu anda dapatkan setiap tahun?,कति जना सार्वजनिक बिदाहरू तपाईंले प्रत्येक वर्ष पाउनु पर्छ?,প্রতি বছর আপনাকে কত বেতনের পাবলিক ছুটি পেতে হবে?,प्रत्येक वर्ष आपको कितनी भुगतान की गई सार्वजनिक छुट्टियां मिलनी चाहिए?
5,What is the maximum monthly overtime limit?,multiple_choice,5,,,1,Apakah had masa lapang bulanan maksimum?,अधिकतम मासिक ओभरटाइम सीमा के हो?,সর্বাধিক মাসিক ওভারটাইম সীমা কত?,अधिकतम मासिक ओवरटाइम सीमा क्या है?
6,You worked 5 continuous hours without a break. Is this allowed?,true_false,6,,,3,Anda bekerja 5 jam berterusan tanpa rehat. Adakah ini dibenarkan?,तपाईं एक ब्रेक बिना use लगातार घण्टा काम गर्नुभयो। यो अनुमति छ?,আপনি বিরতি ছাড়াই 5 অবিচ্ছিন্ন ঘন্টা কাজ করেছেন। এটি অনুমোদিত?,आपने बिना ब्रेक के 5 निरंतर घंटे काम किया। क्या यह अनुमति है?
7,Maximum wage deduction allowed per month?,multiple_choice,7,,,2,Potongan gaji maksimum dibenarkan setiap bulan?,अधिकतम ज्याला कटौती प्रति महिना अनुमति दिइयो?,প্রতি মাসে সর্বাধিক মজুরি ছাড়ের অনুমতি?,प्रति माह अधिकतम मजदूरी कटौती की अनुमति है?
8,Employer didn't pay wages for 2 months. What should happen?,multiple_choice,8,,,4,Majikan tidak membayar upah selama 2 bulan. Apa yang Harus Berlaku?,रोजगारदाताले 2 महिनाको लागि ज्याला तिर्नु भएन। के हुन्छ?,নিয়োগকর্তা 2 মাসের জন্য মজুরি দেননি। কি হবে?,नियोक्ता ने 2 महीने के लिए मजदूरी नहीं दी। क्या होना चाहिए?
9,How often must wages be paid?,multiple_choice,1,,,12,Berapa kerapkah upah perlu dibayar?,ज्याला कति पटक भुक्तान गर्नुपर्दछ?,কতবার মজুরি দিতে হবে?,कितनी बार मजदूरी का भुगतान किया जाना चाहिए?
10,Wages must be paid within how many days after the wage period ends?,multiple_choice,2,,,14,Upah mesti dibayar dalam masa berapa hari selepas tempoh upah berakhir?,ज्याला तिर्नु पर्छ कति दिन भित्र वार्षिक अवधि समाप्त हुन्छ?,মজুরি সময় শেষ হওয়ার পরে কত দিন পরে মজুরি দিতে হবে?,मजदूरी की अवधि समाप्त होने के कितने दिनों के बाद मजदूरी का भुगतान किया जाना चाहिए?
