legal_id,section_id,part_label,title_short,language_code,source_id,legal_title_plain,legal_content_plain_en,legal_title_plain_ms,legal_title_plain_ne,legal_title_plain_bn,legal_title_plain_hi,legal_content_plain_en_ms,legal_content_plain_en_ne,legal_content_plain_en_bn,legal_content_plain_en_hi
1,2,,Regulations 1980.,EN,1,Monthly overtime limit,"Overtime is at most 104 hours in one month; after 104 hours, your employer cannot ask you to work more.",Had Overtime Bulanan,मासिक ओभरटाइम सीमा,মাসিক ওভারটাইম সীমা,मासिक ओवरटाइम सीमा,"Lebih masa paling banyak 104 jam dalam satu bulan; Selepas 104 jam, majikan anda tidak boleh meminta anda bekerja lebih lanjut.","ओभरटाइम एक महिनामा सबैभन्दा 104 घण्टामा छ; 104 घण्टा पछि, तपाईंको रोजगारदाताले तपाईंलाई अधिक काम गर्न अनुरोध गर्न सक्दैनन्।","ওভারটাইম এক মাসে সর্বাধিক 104 ঘন্টা; 104 ঘন্টা পরে, আপনার নিয়োগকর্তা আপনাকে আরও কাজ করতে বলতে পারবেন না।","ओवरटाइम एक महीने में अधिकतम 104 घंटे है; 104 घंटों के बाद, आपका नियोक्ता आपको अधिक काम करने के लिए नहीं कह सकता है।"
2,100,PART XV,"Penalties for failure or non-compliance in relation to rest days, overtime, holidays, annual leave, and sick leave",EN,2,Payment obligations,"Your employer must pay you for rest day work, overtime work, holiday work, annual leave, and sick leave - if they don't pay, they commit an offence and the court will order them to pay you the wages due.",Kewajipan pembayaran,भुक्तानी दायित्व,অর্থ প্রদানের বাধ্যবাধকতা,भुगतान दायित्व,"Majikan anda mesti membayar anda untuk kerja hari rehat, kerja lebih masa, kerja percutian, cuti tahunan, dan cuti sakit - jika mereka tidak membayar, mereka melakukan kesalahan dan mahkamah akan memerintahkan mereka membayar upah anda.","तपाईंको रोजगारदाताले तपाईंलाई आराम दिन काम, ओभरटाइम कार्य, छुट्टीको काम, वार्षिक बिदा, र बिरामी बिदाको लागि भुक्तान गर्नुपर्दछ - यदि उनीहरूले तपाईंलाई भुक्तानी गरेन भने, अदालतले तपाईंलाई ज्याला तिर्न आदेश दिनेछ।","আপনার নিয়োগকর্তাকে অবশ্যই বিশ্রামের কাজ, অতিরিক্ত সময় কাজ, ছুটির কাজ, বার্ষিক ছুটি এবং অসুস্থ ছুটির জন্য আপনাকে অর্থ প্রদান করতে হবে - যদি তারা অর্থ প্রদান না করে তবে তারা কোনও অপরাধ করে এবং আদালত তাদের আপনাকে বকেয়া মজুরি প্রদানের আদেশ দেবে।","आपके नियोक्ता को आपको आराम दिन के काम, ओवरटाइम काम, छुट्टी का काम, वार्षिक अवकाश और बीमार अवकाश के लिए भुगतान करना होगा - यदि वे भुगतान नहीं करते हैं, तो वे एक अपराध करते हैं और अदालत उन्हें आदेश देगी कि वे आपको मजदूरी का भुगतान कर सकें।"
3,16,PART III,Employees on estates to be provided with minimum number of days' work in each mont,EN,2,Minimum work days for estate workers,"If you work on an estate and get paid by days worked, your employer must give you at least 24 days of work each month or still pay you for 24 days.",Hari kerja minimum untuk pekerja harta tanah,एस्टेट कामदारहरूको लागि न्यूनतम काम दिनहरू,এস্টেট কর্মীদের জন্য সর্বনিম্ন কাজের দিন,संपत्ति श्रमिकों के लिए न्यूनतम कार्य दिवस,"Jika anda bekerja di ladang dan dibayar oleh hari bekerja, majikan anda mesti memberi anda sekurang -kurangnya 24 hari bekerja setiap bulan atau masih membayar anda selama 24 hari.","यदि तपाईं एक सम्पत्तिमा काम गर्नुहुन्छ र समय काम गरेर भुक्तान गर्नुहुन्छ भने, तपाईंको रोजगारदाताले तपाईंलाई प्रत्येक महिना कम्तिमा 2 24 दिन काम गर्नुपर्नेछ वा अझै पनि तपाईंलाई 2 days दिनको लागि भुक्तान गर्नुपर्नेछ।",আপনি যদি কোনও এস্টেটে কাজ করেন এবং কাজ করে অর্থ প্রদান করেন তবে আপনার নিয়োগকর্তাকে অবশ্যই আপনাকে প্রতি মাসে কমপক্ষে 24 দিনের কাজ দিতে হবে বা এখনও আপনাকে 24 দিনের জন্য অর্থ প্রদান করতে হবে।,"यदि आप एक संपत्ति पर काम करते हैं और काम किए गए दिनों से भुगतान करते हैं, तो आपके नियोक्ता को आपको हर महीने कम से कम 24 दिन का काम देना होगा या अभी भी आपको 24 दिनों के लिए भुगतान करना होगा।"
4,18,PART III,Wage period,EN,2,Monthly wage payment frequency,Your employer must pay your wages at least once every month.,Kekerapan pembayaran gaji bulanan,मासिक ज्याला भुक्तानी फ्रिक्वेन्सी,মাসিক মজুরি প্রদানের ফ্রিকোয়েন্সি,मासिक मजदूरी भुगतान आवृत्ति,Majikan anda mesti membayar upah anda sekurang -kurangnya sekali setiap bulan.,तपाईंको रोजगारदाताले तपाईंको ज्याला कम्तिमा प्रत्येक महिनामा एक पटक तिर्नु पर्छ।,আপনার নিয়োগকর্তাকে অবশ্যই প্রতি মাসে কমপক্ষে একবার আপনার মজুরি দিতে হবে।,आपके नियोक्ता को हर महीने कम से कम एक बार आपकी मजदूरी का भुगतान करना होगा।
5,18A,PART III,Calculation of wages for incomplete month's work,EN,2,Partial month wage calculation,"If you don't work the full month, your pay will be calculated by this formula: (Monthly wages ÷ Days in wage period) * Days you actually worked.",Pengiraan gaji bulan separa,आंशिक महिना Weage गणना,আংশিক মাস মজুরি গণনা,आंशिक माह मजदूरी गणना,"Jika anda tidak bekerja bulan penuh, gaji anda akan dikira oleh formula ini: (upah bulanan ÷ hari dalam tempoh upah) * Hari anda sebenarnya bekerja.","यदि तपाईं पूर्ण महिना काम गर्नुहुन्न भने, तपाईंको भुक्तानी यस सूत्र द्वारा गणना गरिनेछ: (मासिक ज्याला ÷ दिन ÷ दिनहरू) * दिन तपाईंले वास्तवमा काम गर्नुभयो।",আপনি যদি পুরো মাস কাজ না করেন তবে আপনার বেতন এই সূত্রটি দ্বারা গণনা করা হবে: (মজুরির সময়কালে মাসিক মজুরি) * আপনি আসলে কাজ করেছেন।,"यदि आप पूरे महीने में काम नहीं करते हैं, तो आपके वेतन की गणना इस फॉर्मूले द्वारा की जाएगी: (मासिक मजदूरी period दिन में वेतन अवधि में) * दिन आपने वास्तव में काम किया था।"
6,19,PART III,Time of payment of wages,EN,2,Wage payment deadlines,"Your employer must pay your wages within 7 days after the end of each wage period, and overtime/rest day/holiday wages must be paid by the last day of the next wage period.",Tarikh akhir pembayaran gaji,ज्याला भुक्तानी विस्तारित,মজুরি প্রদানের সময়সীমা,मजदूरी भुगतान की समय सीमा,"Majikan anda mesti membayar upah anda dalam masa 7 hari selepas berakhirnya setiap tempoh upah, dan upah kerja lebih masa/rehat/percutian mesti dibayar pada hari terakhir tempoh upah berikutnya.","तपाईंको रोजगारदाताले प्रत्येक ज्याला अवधिको अन्त्य पछि, र ओभरटाइम / आराम दिन / छुट्टीको ज्यालाको अन्तिम दिन पछि तपाईंको ज्यालामा तपाईंको ज्याला तिर्नु पर्छ।",আপনার নিয়োগকর্তাকে অবশ্যই প্রতিটি মজুরির সময় শেষ হওয়ার 7 দিনের মধ্যে আপনার মজুরি দিতে হবে এবং অতিরিক্ত সময়/বিশ্রামের দিন/ছুটির মজুরি পরবর্তী মজুরির সময়ের শেষ দিনের মধ্যে প্রদান করতে হবে।,"आपके नियोक्ता को प्रत्येक मजदूरी अवधि के अंत के बाद 7 दिनों के भीतर आपकी मजदूरी का भुगतान करना होगा, और अगली मजदूरी अवधि के अंतिम दिन तक ओवरटाइम/रेस्ट डे/हॉलिडे मजदूरी का भुगतान किया जाना चाहिए।"
7,20,PART III,Payment on normal termination of contract,EN,2,Final wage payment on normal termination,"When your contract ends normally, your employer must pay any unpaid wages on the same day your contract ends.",Pembayaran gaji akhir atas penamatan biasa,सामान्य समाप्ति मा अन्तिम ज्याला भुक्तानी,সাধারণ সমাপ্তিতে চূড়ান্ত মজুরি প্রদান,सामान्य समाप्ति पर अंतिम मजदूरी भुगतान,"Apabila kontrak anda berakhir secara normal, majikan anda mesti membayar sebarang upah yang tidak dibayar pada hari yang sama kontrak anda berakhir.","जब तपाईंको सम्झौता सामान्य रूपमा समाप्त हुन्छ, तपाईंको रोजगारदाताले कुनै पनि बचत गरिएको ज्याला तिर्नु पर्छ जुन तपाईंको सम्झौता समाप्त हुन्छ।","যখন আপনার চুক্তিটি স্বাভাবিকভাবে শেষ হয়, আপনার নিয়োগকর্তাকে অবশ্যই আপনার চুক্তিটি শেষ হওয়ার দিনেই কোনও অবৈতনিক মজুরি প্রদান করতে হবে।","जब आपका अनुबंध सामान्य रूप से समाप्त हो जाता है, तो आपके नियोक्ता को उसी दिन किसी भी अवैतनिक मजदूरी का भुगतान करना होगा, जिस दिन आपका अनुबंध समाप्त हो जाता है।"
8,21,PART III,on breach of contract,EN,2,Final wage payment on immediate termination,"When your contract ends without notice, your employer must pay all wages owed immediately on the termination day.",Pembayaran gaji akhir atas penamatan segera,तत्काल अन्त्यमा अन्तिम ज्याला भुक्तानी,তাত্ক্ষণিক সমাপ্তিতে চূড়ান্ত মজুরি প্রদান,तत्काल समाप्ति पर अंतिम मजदूरी भुगतान,"Apabila kontrak anda berakhir tanpa notis, majikan anda mesti membayar semua upah yang terhutang segera pada hari penamatan.","जब तपाईंको सम्झौता सूचना बिना समाप्त हुन्छ, तपाईंको रोजगारदाताले टर्मिनेस दिन तुरून्त णी छ।","যখন আপনার চুক্তিটি বিজ্ঞপ্তি ছাড়াই শেষ হয়, আপনার নিয়োগকর্তাকে অবশ্যই সমাপ্তির দিনে অবিলম্বে owed ণী সমস্ত মজুরি প্রদান করতে হবে।","जब आपका अनुबंध बिना किसी सूचना के समाप्त हो जाता है, तो आपके नियोक्ता को समाप्ति के दिन तुरंत बकाया सभी मजदूरी का भुगतान करना होगा।"
9,24,PART IV,Lawful deductions,EN,2,Wage deduction limits,"Your employer can only make deductions from your wages if allowed by law, and total deductions cannot exceed 50% of your monthly wages.",Had potongan upah,WALE कटौती सीमा,মজুরি ছাড়ের সীমা,मजदूरी कटौती सीमा,"Majikan anda hanya boleh membuat potongan dari upah anda jika dibenarkan oleh undang -undang, dan jumlah potongan tidak boleh melebihi 50% daripada upah bulanan anda.","तपाईंको रोजगारदाताले तपाईंको ज्याला मात्र तपाईंको ज्यालाबाट कटौती गर्न सक्दछन्, यदि कानूनले अनुमति दियो भने, तपाईंको मासिक ज्यालामा% 0% भन्दा बढी हुन सक्दैन।",আপনার নিয়োগকর্তা কেবল আইন দ্বারা অনুমোদিত হলে কেবল আপনার মজুরি থেকে ছাড় দিতে পারেন এবং মোট ছাড়গুলি আপনার মাসিক মজুরির 50% ছাড়িয়ে যেতে পারে না।,"यदि कानून द्वारा अनुमति दी जाती है, तो आपका नियोक्ता केवल आपकी मजदूरी से कटौती कर सकता है, और कुल कटौती आपके मासिक मजदूरी का 50% से अधिक नहीं हो सकती है।"
10,25,PART V,Wages to be paid through financial institution,EN,2,Bank payment requirement,Your employer must pay your wages through a bank account in your name or an account you choose.,Keperluan pembayaran bank,बैंक भुक्तानी आवश्यकता,ব্যাংক প্রদানের প্রয়োজনীয়তা,बैंक भुगतान की आवश्यकता,Majikan anda mesti membayar upah anda melalui akaun bank dalam nama anda atau akaun yang anda pilih.,तपाईंको रोजगारदाताले तपाईंको नाममा बैंक खाता मार्फत तपाईंको ज्याला तिर्नुपर्दछ वा तपाईंले छनौट गर्नुभयो।,আপনার নিয়োগকর্তাকে অবশ্যই আপনার নামে বা আপনার চয়ন করা কোনও অ্যাকাউন্টের মাধ্যমে আপনার মজুরি প্রদান করতে হবে।,आपके नियोक्ता को आपके नाम या आपके द्वारा चुने गए खाते में बैंक खाते के माध्यम से आपकी मजदूरी का भुगतान करना होगा।
