org_id,org_name,service_type,org_email,org_descr_en,state_code,org_url,org_phone_no,org_address,operation_hour,org_en,tag
1,Doctors Without Borders,Health & Wellbeing,info@apac.msf.org,"Medical care and outreach for undocumented migrants in malaysia, with mobile clinics, they can send you to hospital and mental-health support",7,https://doctorswithoutborders-apac.org/en,No contact number,Mobile clinics - locations vary by schedule across Penang (see programme notices).,Clinic schedules announced online,Doctors Without Borders,"Support group, Mobile clinic, Community health, Refugee help, Asylum seekers, Undocumented, Counseling, Outreach, Free"
2,FWCMS One Stop Center (Putrajaya),Work,bestinetintls@gmail.com,"Centralised online system for foreign worker recruitment and permits (quota, calling visa, permit renewal, exit memo). Worker-facing at fssc: ecomplaints for employer abuse",16,https://fwcms.com.my/,+603-868 9282,"A2-1-1, 1st Floor, Kompleks Perniagaan Ayer@8, Jalan P8G, Presint 8, 62000 Putrajaya, Malaysia.",Monday-Friday 09:00-18:00,FWCMS One Stop Center (Putrajaya),"eVDR, ePLKS, eCOM, eComplaints, eWages, Employer process, Hotline, Appointment"
3,Food Aid Foundation,Other Support,info@foodaidfoundation.org,"Malaysian non-profit food bank rescuing surplus food from companies and individuals, and redistributing it to welfare homes, refugee communities, low-income families, the homeless, and soup kitchens",14,http://foodaidfoundation.org/,+603-922 6550,"No. 9 Jalan 7/118B, Desa Tun Razak, Cheras, â 56000 Kuala Lumpur, Malaysia",Monday-Friday 09:00-17:00; Saturday 09:00-13:00,Food Aid Foundation,"NGO, Support group, Food aid, Food support, Community help, Free"
4,"Foreign Spouses Support Group, Malaysia",Other Support,community@familyfrontiers.org,"Malaysian support group established in 2009 to advance and protect the rights of foreign spouses of malaysian citizens and their children. Provides advocacy, peer support, and guidance on legal status, residency, and family welfare",10,https://www.facebook.com/FSSGMY/,No contact number,Online-based (no physical office)  ,"No information available, contact for more detail","Foreign Spouses Support Group, Malaysia","NGO, Support group, Support, Legal help, Family support, Free"
5,General Federation of Nepalese Trade Unions (GEFONT),Work,dfa@gefont.org,"Nepal's largest trade union group established in 1989, representing over 449,000 workers across agriculture, industry, and help. GEFONT advocates for labour rights, union organising, and migrant worker protection, and is affiliated with international trade union bodies including ituc",10,https://gefont.org/,+977 1-4168000,"P82C+XJH, Kathmandu 44600, Nepal",Monday-Sunday 09:00-17:00,General Federation of Nepalese Trade Unions (GEFONT),"Union, Support, Worker rights, Worker protection, Nepalese migrant focus"
6,Health Equity Initiatives (HEI),Health & Wellbeing,"Not available, please contact via phone number","Malaysian support group providing free, in your language physical and mental health help-including counselling, health advice, and community outreach-for refugees, asylum seekers, and migrant workers. Hei also engages in advocacy and research to promote equitable healthcare access",14,https://www.healthequityinitiatives.org/,+603-227 2495,"26-1A, Jalan Vivekananda, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Monday-Friday 09:00-18:00,Health Equity Initiatives (HEI),"NGO, Support group, Health, Counseling, Support, Free"
7,Integrated Health Outreach Project,Health & Wellbeing,mlslu@unhcr.org,"Primary care and community health support for refugees/asylum-seekers via UNHCR partners (e.g., Malaysian Relief Agency).",14,https://refugeemalaysia.org/support-2/health-services/,+603-211 8480,"570 Jalan Bukit Petaling, 50460 Kuala Lumpur, Malaysia","No information available, contact for more detail",Integrated Health Outreach Project,"NGO, Support group, Mobile clinic, Primary care, Health screening, Outreach, Low cost, Walk-in, Free"
8,Jabatan Bantuan Guaman Gua Musang,Legal Aid,suriani.rashid@jbg.gov.my,"Legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via jbg offices",3,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+609-912 3688,"Lot 6, Tingkat 1, Bangunan Tabung Haji, Bandar Baru Gua Musang, 18300 GUA MUSANG, KELANTAN","No information available, contact for more detail",Legal Aid Department Gua Musang (Jabatan Bantuan Guaman Gua Musang),"Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment"
9,Jabatan Bantuan Guaman Ibu Pejabat (JBG) ,Legal Aid,fuad.aziz@jbg.gov.my,"Headquarters for legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via JBG offices",16,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+603-888 5182,"Aras 1, Bangunan Hal Ehwal Undang Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692, Wilayah Persekutuan Putrajaya.",Monday-Friday 08:30-16:00,Legal Aid Department Headquarters (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),"Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment"
10,Jabatan Bantuan Guaman Johor,Legal Aid,aidatulazura@jbg.gov.my,"Legal aid and free lawyers for children for children in criminal cases, regardless of nationality (per 2025 law updates). Advice and they can send you to hospital via JBG offices",1,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+607-223 4960,"Lot L4-01, Tingkat 4, Menara Landmark, No.12, Jalan Ngee Heng, 80000 Johor Baharu, JOHOR",Sunday-Wednesday 08:00-16:00; Thursday 08:00-15:30,Legal Aid Department Johor (Jabatan Bantuan Guaman Johor),"Legal help, Children, Under 18, Criminal, Regardless of nationality, Public defender, Appointment"
