org_name,service_type,org_email,org_descr_en,state_name,org_url,org_phone_no,org_address,operation_hour,org_en,tag,org_en_ms,org_en_ne,org_en_bn,org_en_hi,org_descr_en_bn,org_descr_en_ms,org_descr_en_hi,org_descr_en_ne,tag_ms,tag_ne,tag_bn,tag_hi,service_type_ms,service_type_ne,service_type_bn,service_type_hi
Suara Rakyat Malaysia (SUARAM),Legal Aid,suaram@suaram.net,"Human rights monitoring, advocacy and legal referrals for vulnerable groups including migrant workers.",Johor,https://www.suaram.net/,+603-7954 5724,"433-A Jalan 5/46, 46000 Petaling Jaya, Selangor, Malaysia",Monday-Friday 10:30-17:30,Voice of the Malaysian People (Suara Rakyat Malaysia (SUARAM)),"NGO, rights education, advocacy, legal referrals, appointment, free",Suara Rakyat Malaysia (SUARAM),मलेशियन मानिसहरुको आवाज (सुरा राकिट मलेसिया (सुराराम)) (Suara Rakyat Malaysia (SUARAM)),মালয়েশিয়ার জনগণের কণ্ঠস্বর (সুরা রাকিয়াত মালয়েশিয়া (সুয়ারাম)) (Suara Rakyat Malaysia (SUARAM)),मलेशियाई लोगों की आवाज (सुरा रकीट मलेशिया (सुआरम)) (Suara Rakyat Malaysia (SUARAM)),"অভিবাসী শ্রমিকসহ দুর্বল গোষ্ঠীর জন্য মানবাধিকার পর্যবেক্ষণ, উকিল এবং আইনী রেফারেল।","Pemantauan hak asasi manusia, advokasi dan rujukan undang -undang untuk kumpulan terdedah termasuk pekerja asing.","प्रवासी श्रमिकों सहित कमजोर समूहों के लिए मानवाधिकारों की निगरानी, ​​वकालत और कानूनी रेफरल।","आप्रवासी कामदारहरू लगायतका समूहहरूको लागि मानवअधिकार अनुगमन, वकालत र कानूनी सूचका।","NGO, Pendidikan Hak, Advokasi, Rujukan Undang -Undang, Pelantikan, Percuma","एनजीओ, अधिकार शिक्षा, वकालत, कानूनी सिफारिशहरू, नियुक्ति, नि: शुल्क","এনজিও, অধিকার শিক্ষা, অ্যাডভোকেসি, আইনী রেফারেল, অ্যাপয়েন্টমেন্ট, বিনামূল্যে","एनजीओ, अधिकार शिक्षा, वकालत, कानूनी रेफरल, नियुक्ति, नि: शुल्क",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Integrated Health Outreach Project,Health & Wellbeing,mlslu@unhcr.org,"Primary care and community health support for refugees/asylum-seekers via UNHCR partners (e.g., Malaysian Relief Agency).",Kuala Lumpur Federal Territory,https://refugeemalaysia.org/support-2/health-services/,+603-2118 4800,"570 Jalan Bukit Petaling, 50460 Kuala Lumpur, Malaysia","No information available, contact for more detail",Integrated Health Outreach Project,"NGO, mobile clinic, primary care, health screening, outreach, low cost, walk-in, free",Projek Outreach Kesihatan Bersepadu,एकीकृत स्वास्थ्य आउटरी प्रोजेक्ट प्रोजेक्ट (Integrated Health Outreach Project),সংহত স্বাস্থ্য প্রচার প্রকল্প (Integrated Health Outreach Project),एकीकृत स्वास्थ्य आउटरीच परियोजना (Integrated Health Outreach Project),"ইউএনএইচসিআর অংশীদারদের (যেমন, মালয়েশিয়ার ত্রাণ সংস্থা) এর মাধ্যমে শরণার্থী/আশ্রয়-সন্ধানকারীদের জন্য প্রাথমিক যত্ন এবং সম্প্রদায় স্বাস্থ্য সহায়তা।","Penjagaan utama dan sokongan kesihatan masyarakat untuk pelarian/pencari suaka melalui rakan kongsi UNHCR (mis., Agensi Relief Malaysia).","UNHCR भागीदारों (जैसे, मलेशियाई राहत एजेंसी) के माध्यम से शरणार्थियों/शरण-चाहने वालों के लिए प्राथमिक देखभाल और सामुदायिक स्वास्थ्य सहायता।","शरणार्थी / शरणार्थीहरूको लागि प्राथमिक हेरचाह र सामुदायिक स्वास्थ्य समर्थन Unhcr पार्टनरहरू (E.g., मलेशियन राहत एजेन्सी)।","NGO, klinik mudah alih, penjagaan primer, pemeriksaan kesihatan, jangkauan, kos rendah, berjalan kaki, percuma","एनजीओ, मोबाइल क्लिनिक, प्राथमिक हेरचाह, स्वास्थ्य स्क्रीनिंग, आउटरीच, कम लागत, कम लागत, हिँड्न, एक नि: शुल्क","এনজিও, মোবাইল ক্লিনিক, প্রাথমিক যত্ন, স্বাস্থ্য স্ক্রিনিং, আউটরিচ, স্বল্প ব্যয়, ওয়াক-ইন, বিনামূল্যে","एनजीओ, मोबाइल क्लिनिक, प्राथमिक देखभाल, स्वास्थ्य स्क्रीनिंग, आउटरीच, कम लागत, वॉक-इन, मुफ्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Women's Centre for Change (WCC Penang),Legal Aid,wcc@wccpenang.org,"Free and confidential counselling, legal information & court support; advocacy and outreach.",Penang,https://www.wccpenang.org/,+604-2280 0342,"241 Jalan Burma, 10350 George Town, Penang, Malaysia",Monday-Friday 09:00-17:00,Women's Centre for Change (WCC Penang),"NGO, women only, counseling, legal info, hotline, referrals, appointment, free",Pusat Perubahan Wanita (WCC Pulau Pinang),महिला केन्द्रको केन्द्र (WCC PANANT) (Women's Centre for Change (WCC Penang)),মহিলাদের জন্য মহিলা কেন্দ্র (ডব্লিউসিসি পেনাং) (Women's Centre for Change (WCC Penang)),चेंज के लिए महिला केंद्र (डब्ल्यूसीसी पेनांग) (Women's Centre for Change (WCC Penang)),"নিখরচায় এবং গোপনীয় পরামর্শ, আইনী তথ্য এবং আদালত সমর্থন; অ্যাডভোকেসি এবং আউটরিচ।","Kaunseling Percuma dan Rahsia, Maklumat Undang -Undang & Sokongan Mahkamah; advokasi dan jangkauan.","नि: शुल्क और गोपनीय परामर्श, कानूनी सूचना और अदालत का समर्थन; वकालत और आउटरीच।","नि: शुल्क र गोप्य परामर्श, कानूनी जानकारी र अदालत समर्थन; वकालत र आउटरीच।","NGO, wanita sahaja, kaunseling, maklumat undang -undang, hotline, rujukan, pelantikan, percuma","एनजीओ, महिलाहरू मात्र, परामर्श, परामर्श, परामर्श, हटलाइन, सिफारिश, नि: शुल्क","এনজিও, কেবল মহিলা, কাউন্সেলিং, আইনী তথ্য, হটলাইন, রেফারেলস, অ্যাপয়েন্টমেন্ট, বিনামূল্যে","एनजीओ, केवल महिलाएं, परामर्श, कानूनी जानकारी, हॉटलाइन, रेफरल, नियुक्ति, मुफ्त",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Malaysian Red Crescent Society (Sabah),Health & Wellbeing,sabah@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Sabah,https://redcrescent.org.my/,+608-2426 4800,"Voluntary Association Complex Batu 21/2, Lot No. 2, Jalan Tuaran Lorong Bunga Matahari 2, Sabah, 88400 Kota Kinabalu","No information available, contact for more detail",Malaysian Red Crescent Society (Sabah),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Sabah),मलेशियन रेड रेफेन्ट सोसाइज (SABAH) (Malaysian Red Crescent Society (Sabah)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (সাবাহ) (Malaysian Red Crescent Society (Sabah)),मलेशियाई रेड क्रिसेंट सोसाइटी (सबा) (Malaysian Red Crescent Society (Sabah)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society Sarawak Chapter,Health & Wellbeing,stamprc@po.jaring.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Sarawak,https://www.redcrescentsarawak.org.my/,+608-2428 2280,"Jalan P. Ramlee, 93400 Kuching, Sarawak, Malaysia",Monday-Friday 08:30-12:00 and 14:30-17:00; Saturday 08:30-12:00,Malaysian Red Crescent Society Sarawak Chapter,"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia Sarawak Bab,मलेशियन रेड रेड अर्धारी समाज सारवक अध्याय (Malaysian Red Crescent Society Sarawak Chapter),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি সরওয়াক অধ্যায় (Malaysian Red Crescent Society Sarawak Chapter),मलेशियाई रेड क्रिसेंट सोसाइटी सरवाक अध्याय (Malaysian Red Crescent Society Sarawak Chapter),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
MERCY Malaysia Headquarters,Health & Wellbeing,info@mercy.org.my,"Nationwide coverage; medical relief, health-related development and outreach for vulnerable groups across Malaysia.",Kuala Lumpur Federal Territory,https://mercy.org.my/,+603-2276 2116,"1st Floor, Bangunan MCOBA, 42 Jalan Syed Putra, 50460 Kuala Lumpur, Malaysia",Monday-Friday 09:00-18:00,MERCY Malaysia Headquarters,"NGO, community health, mobile clinic, mental health, disaster relief, outreach, appointment, free",Ibu Pejabat Mercy Malaysia,दया मलेसिया मुख्यालय (MERCY Malaysia Headquarters),করুণা মালয়েশিয়া সদর দফতর (MERCY Malaysia Headquarters),दया मलेशिया मुख्यालय (MERCY Malaysia Headquarters),"দেশব্যাপী কভারেজ; মেডিকেল রিলিফ, স্বাস্থ্য সম্পর্কিত উন্নয়ন এবং মালয়েশিয়া জুড়ে দুর্বল গোষ্ঠীর জন্য প্রচার।","Liputan di seluruh negara; Pelepasan perubatan, pembangunan yang berkaitan dengan kesihatan dan jangkauan untuk kumpulan yang terdedah di seluruh Malaysia.","राष्ट्रव्यापी कवरेज; मलेशिया भर में कमजोर समूहों के लिए चिकित्सा राहत, स्वास्थ्य संबंधी विकास और आउटरीच।","राष्ट्रव्यापी कभरेज; मेडिकल राहत, स्वास्थ्य-सम्बन्धित विकास र मलेशियाको कमजोर समूहहरूको लागि बहिर्गमन।","NGO, Kesihatan Komuniti, Klinik Mudah Alih, Kesihatan Mental, Relief Bencana, Jangkauan, Pelantikan, Percuma","एनजीओ, सामुदायिक स्वास्थ्य, मोबाइल क्लिनिक, मानसिक स्वास्थ्य, प्रकोप राहत, आउटरीच, नियुक्ति, नि: शुल्क","এনজিও, কমিউনিটি হেলথ, মোবাইল ক্লিনিক, মানসিক স্বাস্থ্য, দুর্যোগ ত্রাণ, প্রচার, অ্যাপয়েন্টমেন্ট, বিনামূল্যে","एनजीओ, सामुदायिक स्वास्थ्य, मोबाइल क्लिनिक, मानसिक स्वास्थ्य, आपदा राहत, आउटरीच, नियुक्ति, मुफ्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Labuan),Health & Wellbeing,labuan@redcrescent.org.my,"Humanitarian assistance, first aid and community health; restoring family links and disaster response.",Labuan Federal Territory,https://redcrescent.org.my/,+608-8411 7020,"Telekom (M) Berhad, Jalan Kampung Jawa, 87007 Labuan, Wilayah Persekutuan Labuan, Malaysia","No information available, contact for more detail",Malaysian Red Crescent Society (Labuan),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Labuan),मलेशियन रातो स्लेभन्ट सोसाइटी (लाबान) (Malaysian Red Crescent Society (Labuan)),মালয়েশিয়ান রেড ক্রিসেন্ট সোসাইটি (ল্যাবুয়ান) (Malaysian Red Crescent Society (Labuan)),मलेशियाई रेड क्रिसेंट सोसाइटी (लाबुआन) (Malaysian Red Crescent Society (Labuan)),"মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; পারিবারিক লিঙ্ক এবং দুর্যোগ প্রতিক্রিয়া পুনরুদ্ধার।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat; Memulihkan hubungan keluarga dan tindak balas bencana.","मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; पारिवारिक लिंक और आपदा प्रतिक्रिया को बहाल करना।","मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; परिवार लिंकहरू र प्रकोप प्रतिक्रिया पुनःस्थापना गर्दै।","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Malaysian Red Crescent Society (Putrajaya),Health & Wellbeing,adminvms@redcrescent.org.my,"Humanitarian assistance, first aid and community health via MRCS network; inquiries handled by national HQ.",Putrajaya Federal Territory,https://redcrescent.org.my/contact/,+603-2143 8122,"Lot PT54, Lengkok Belfield, Off Jalan Wisma Putra, 50460 Kuala Lumpur, Malaysia","No information available, contact for more detail",Malaysian Red Crescent Society (Putrajaya),"NGO, first aid, ambulance, disaster relief, blood donation, training, free",Persatuan Bulan Sabit Merah Malaysia (Putrajaya),मलेशियन रेड रेफेन्ट सोसाइटी (प्लेराजीया) (Malaysian Red Crescent Society (Putrajaya)),মালয়েশিয়ার রেড ক্রিসেন্ট সোসাইটি (পুত্রজায়া) (Malaysian Red Crescent Society (Putrajaya)),मलेशियाई रेड क्रिसेंट सोसाइटी (पुत्रजया) (Malaysian Red Crescent Society (Putrajaya)),"এমআরসিএস নেটওয়ার্কের মাধ্যমে মানবিক সহায়তা, প্রাথমিক চিকিত্সা এবং সম্প্রদায়ের স্বাস্থ্য; জাতীয় সদর দফতর দ্বারা পরিচালিত অনুসন্ধানগুলি।","Bantuan kemanusiaan, pertolongan cemas dan kesihatan masyarakat melalui rangkaian MRCS; Pertanyaan yang dikendalikan oleh HQ Nasional.","एमआरसीएस नेटवर्क के माध्यम से मानवीय सहायता, प्राथमिक चिकित्सा और सामुदायिक स्वास्थ्य; राष्ट्रीय मुख्यालय द्वारा संभाल की गई पूछताछ।","MRCCS नेटवर्क मार्फत मानवीय सहयोग, प्राथमिक उपचार र सामुदायिक स्वास्थ्य; राष्ट्रिय मुख्यालय द्वारा सम्मिलित सोधपुछ","NGO, pertolongan cemas, ambulans, bantuan bencana, sumbangan darah, latihan, percuma","एनजीओ, प्राथमिक उपचार, एम्बुलेन्स, प्रकोप राहत, रक्तदान, तालिम, नि: शुल्क","এনজিও, প্রাথমিক চিকিত্সা, অ্যাম্বুলেন্স, দুর্যোগ ত্রাণ, রক্ত ​​অনুদান, প্রশিক্ষণ, বিনামূল্যে","एनजीओ, प्राथमिक चिकित्सा, एम्बुलेंस, आपदा राहत, रक्त दान, प्रशिक्षण, मुक्त",Kesihatan & Kesejahteraan,स्वास्थ्य र हेलोबिंग,স্বাস্থ্য ও সুস্থতা,स्वास्थ्य और भलाई
Jabatan Tenaga Kerja (Johor),Work,jtknjohor@mohr.gov.my,State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.,Johor,https://jtksm.mohr.gov.my/ms,+607-227 5080,"Tingkat 3, Blok A, Wisma Persekutuan, Wisma Jalan Ayer Molek, 80000 Johor Bahru, Johor.","No information available, contact for more detail",Department of Labour (Johor) (Jabatan Tenaga Kerja (Johor)),"wage claim, overtime, rest days, complaints, hostel standards",Jabatan Tenaga Kerja (Johor),श्रम विभाग (जोशर) (जॉबुटन सेटागा किर्जा (जोहि)) (Jabatan Tenaga Kerja (Johor)),শ্রম বিভাগ (জোহর) (জাবাতান টেনাগা কেরজা (জোহর)) (Jabatan Tenaga Kerja (Johor)),श्रम विभाग (जोहोर) (Jabatan Tenaga Kerja (Johor)) (Jabatan Tenaga Kerja (Johor)),মজুরি/ওটি/বিশ্রাম দিনের অভিযোগের জন্য রাজ্য শ্রম অফিস; হোস্টেল স্ট্যান্ডার্ডস (আইন 446) পরামর্শ; মধ্যস্থতা এবং প্রয়োগ।,Pejabat Buruh Negeri untuk Upah/OT/REST hari aduan; Standard Hostel (Akta 446) Nasihat; Pengantaraan & Penguatkuasaan.,मजदूरी/ओटी/रेस्ट डे शिकायतों के लिए राज्य श्रम कार्यालय; हॉस्टल मानकों (अधिनियम 446) सलाह; मध्यस्थता और प्रवर्तन।,राज्य श्रम कार्यालय ज्याला / ओट / आराम दिन गुनासोहरूको लागि; होस्टेल मानक (कार्य 44 446) सल्लाह; मध्यस्थता र कार्यान्वयन।,"tuntutan gaji, masa lapang, hari rehat, aduan, standard asrama","ज्याला दावी, ओभरटाइम, आराम दिन, गुनासोहरू, होस्टेल मापदण्डहरू","মজুরির দাবি, ওভারটাইম, বিশ্রামের দিন, অভিযোগ, হোস্টেলের মান","मजदूरी का दावा, ओवरटाइम, बाकी दिन, शिकायतें, छात्रावास मानकों",Bekerja,काम,কাজ,काम
Jabatan Tenaga Kerja (Kedah),Work,jtknkedah@mohr.gov.my,State labour office for wage/OT/rest day complaints; hostel standards (Act 446) advice; mediation & enforcement.,Kedah,https://jtksm.mohr.gov.my/ms,+604-732 2655,"Aras 5, Zon A, Wisma Persekutuan, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, 06550 Alor Setar, Kedah",Monday-Wednesday 08:00-17:00; Thursday 08:00-15:30,Department of Labour (Kedah) (Jabatan Tenaga Kerja (Kedah)),"wage claim, overtime, rest days, complaints, hostel standards",Jabatan Tenaga Kerja (Kedah),श्रम विभाग (केदार) (जाबुज शीगा केर्जा (केदार))) (Jabatan Tenaga Kerja (Kedah)),শ্রম বিভাগ (কেদাহ) (জাবাতান তেনাগা কেরজা (কেদা)) (Jabatan Tenaga Kerja (Kedah)),श्रम विभाग (केदाह) (जाबातन तेनगा केर्जा (केदाह)) (Jabatan Tenaga Kerja (Kedah)),মজুরি/ওটি/বিশ্রাম দিনের অভিযোগের জন্য রাজ্য শ্রম অফিস; হোস্টেল স্ট্যান্ডার্ডস (আইন 446) পরামর্শ; মধ্যস্থতা এবং প্রয়োগ।,Pejabat Buruh Negeri untuk Upah/OT/REST hari aduan; Standard Hostel (Akta 446) Nasihat; Pengantaraan & Penguatkuasaan.,मजदूरी/ओटी/रेस्ट डे शिकायतों के लिए राज्य श्रम कार्यालय; हॉस्टल मानकों (अधिनियम 446) सलाह; मध्यस्थता और प्रवर्तन।,राज्य श्रम कार्यालय ज्याला / ओट / आराम दिन गुनासोहरूको लागि; होस्टेल मानक (कार्य 44 446) सल्लाह; मध्यस्थता र कार्यान्वयन।,"tuntutan gaji, masa lapang, hari rehat, aduan, standard asrama","ज्याला दावी, ओभरटाइम, आराम दिन, गुनासोहरू, होस्टेल मापदण्डहरू","মজুরির দাবি, ওভারটাইম, বিশ্রামের দিন, অভিযোগ, হোস্টেলের মান","मजदूरी का दावा, ओवरटाइम, बाकी दिन, शिकायतें, छात्रावास मानकों",Bekerja,काम,কাজ,काम
