topic_id,topic_title,topic_name_en,slug_text,order_sequence,is_active,created_at,description,topic_name_en_ms,topic_name_en_ne,topic_name_en_bn,topic_name_en_hi,description_ms,description_ne,description_bn,description_hi
1,complete_rights,Complete Rights,complete-rights,1,,,General labor rights and regulations,Hak lengkap,पूर्ण अधिकार,সম্পূর্ণ অধিকার,पूर्ण अधिकार,Hak dan peraturan buruh umum,सामान्य श्रम अधिकार र नियमहरु,সাধারণ শ্রম অধিকার ও বিধিবিধান,सामान्य श्रम अधिकार और विनियम
2,wages_salary,Wages & Salary,wages-salary,2,,,Payment terms and wage calculations,Upah & gaji,ज्याला र तलब,মজুরি ও বেতন,मजदूरी और वेतन,Terma pembayaran dan pengiraan gaji,भुक्तानी सर्तहरू र ज्याला गणना,অর্থ প্রদানের শর্তাদি এবং মজুরি গণনা,भुगतान शर्तें और मजदूरी गणना
3,working_hours,Working Hours,working-hours,3,,,Daily/weekly hour limits and breaks,Jam kerja,काम गर्ने घण्टा,কাজের সময়,कार्य के घंटे,Had dan rehat jam harian/mingguan,दैनिक / साप्ताहिक घण्टाको सीमा र ब्रेक,দৈনিক/সাপ্তাহিক ঘন্টা সীমা এবং বিরতি,दैनिक/साप्ताहिक घंटे की सीमा और टूटता है
4,workplace_rights,Workplace Rights,workplace-rights,4,,,"Safety, passport retention, and violations",Hak tempat kerja,कार्यस्थल अधिकार,কর্মক্ষেত্রের অধিকার,कार्यस्थल अधिकार,"Keselamatan, pengekalan pasport, dan pelanggaran","सुरक्षा, राहदानी नियमन, र उल्लंघन","সুরক্ষা, পাসপোর্ট ধরে রাখা এবং লঙ্ঘন","सुरक्षा, पासपोर्ट प्रतिधारण, और उल्लंघन"
5,overtime_rules,Overtime Rules,overtime-rules,5,,,Overtime limits and payment requirements,Peraturan lebih masa,ओभरटाइम नियम,ওভারটাইম বিধি,ओवरटाइम नियम,Had lebih masa dan keperluan pembayaran,ओभरटाइम सीमा र भुक्तानी आवश्यकताहरू,ওভারটাইম সীমা এবং প্রদানের প্রয়োজনীয়তা,ओवरटाइम सीमा और भुगतान आवश्यकताओं
6,overtime_rates,Overtime Rates,overtime-rates,6,,,Rate calculations and compensation,Kadar lebih masa,ओभरटाइम दरहरू,ওভারটাইম হার,ओवरटाइम दरें,Pengiraan kadar dan pampasan,दर गणना र क्षतिपूर्ति,হার গণনা এবং ক্ষতিপূরণ,दर गणना और मुआवजा
7,housing_hostel,Housing & Hostel,housing-hostel,7,,,Accommodation standards and requirements,Perumahan & asrama,आवास र होस्टल,হাউজিং এবং হোস্টেল,आवास और छात्रावास,Piawaian dan keperluan penginapan,आवास मानक र आवश्यकताहरू,আবাসন মান এবং প্রয়োজনীয়তা,आवास मानकों और आवश्यकताओं
8,safety_health,Safety & Health,safety-health,8,,,Workplace safety duties and procedures,Keselamatan & Kesihatan,सुरक्षा र स्वास्थ्य,সুরক্ষা এবং স্বাস্থ্য,सुरक्षा और स्वास्थ्य,Tugas dan prosedur keselamatan di tempat kerja,कार्यस्थल सुरक्षा कर्तव्य र प्रक्रियाहरू,কর্মক্ষেত্রের সুরক্ষা দায়িত্ব এবং পদ্ধতি,कार्यस्थल सुरक्षा कर्तव्य और प्रक्रियाएं
9,rest_holidays,Rest & Holidays,rest-holidays,9,,,Leave entitlements and public holidays,Rehat & Cuti,आराम र छुट्टिहरु,বিশ্রাম এবং ছুটি,आराम और छुट्टियां,Tinggalkan hak dan cuti umum,हकदार र सार्वजनिक छुट्टिहरु छोड्नुहोस्,এনটাইটেলমেন্ট এবং পাবলিক ছুটি ছেড়ে দিন,एंटाइटेलमेंट्स और पब्लिक अवकाश छोड़ दें
10,passport_retention,Passport Retention,passport-retention,10,,,Passport custody and legal requirements,Pengekalan pasport,राहदानी समानाना,পাসপোর্ট ধরে রাখা,पासपोर्ट प्रतिधारण,Jagaan pasport dan keperluan undang -undang,पासपोर्ट हिरासत र कानूनी आवश्यकताहरू,পাসপোর্ট হেফাজত এবং আইনী প্রয়োজনীয়তা,पासपोर्ट हिरासत और कानूनी आवश्यकताएँ
