story_id,story_title_en,story_body_en,language_code,theme,tips_or_lesson,story_url
1,How I Became Undocumented: My Struggles as a Domestic Worker in Malaysia,"I came to Malaysia from Indonesia, hoping to earn money for my family. But things went wrong—my contract wasn't honored, agents fooled me, and I even had to run away from abuse. Suddenly, I became undocumented. Without legal papers, I had no choice but to accept dangerous, low-pay jobs and live in fear. Getting documents again was too hard and expensive, and I met many women and children suffering the same. Only with help from NGOs and the embassy did I find shelter and some hope.",EN,Legal & Documents,Losing my legal status made me feel powerless and unsafe;Fair and simple ways to get documents are so important;Knowing our rights and connecting with support groups can save us,https://projectmultatuli.org/en/turning-undocumented-struggles-of-indonesian-undocumented-domestic-workers-in-malaysia/
2,We Fought Together and Won: How 74 of Us Finally Got Our Unpaid Wages,"I was one of 74 Bangladeshi workers stuck in Malaysia. We didn't get paid and lived in crowded hostels. On our own, we felt helpless—but by joining forces and with TENAGANITA's support, we stood up and challenged our employer legally. After a long fight, the court ordered the company to pay us what we were owed. Winning our case showed that it's possible to get justice if we stick together and speak out.",EN,Fair Pay & Wages,"It's easy to feel hopeless alone, but unity gives us strength;Getting support from NGOs and using the law really helped;We must be brave and demand our rights",https://www.nst.com.my/news/nation/2025/06/1233314/tenaganita-commends-rm155-million-payout-order-bangladeshi-workers
3,I Ran to Escape a Raid—Not Everyone Survived: My Story as a Myanmar Worker in Malaysia,"The factory where I worked was raided. I ran for my life, but a friend died and many others were caught and injured. Without documents, we are always at risk of detention, long months in camps, and even deportation. It's hard to live like this, always scared, never knowing what tomorrow brings. But we keep hoping for safer policies and a better future.",EN,Safety & Health,Running from the police can be deadly;We need safer ways to manage our status;Staying informed and united makes a difference,https://www.irrawaddy.com/news/burma/one-myanmar-migrant-killed-while-fleeing-dozens-detained-in-malaysia-crackdown.html
4,We Escaped Forced Labour and Fought for Justice: The Journey of 48 Indian Workers,"I was trapped on a construction site with 47 others—working without pay, not enough to eat, threats from our boss. During Deepavali, we escaped and found safety with a local temple and the Indian High Commission. Thanks to legal support and community help, we challenged our employer and—after a long fight—won our case. Our journey shows that, together, we can stand up for ourselves and change things for the better.",EN,Resilience & Success,"Don't give up, even when the system seems stacked against you;Solidarity makes us stronger;Early support and clear contracts make a difference",https://international.astroawani.com/malaysia-news/how-48-indian-workers-strengthened-malaysias-forced-labour-fight-446382
5,When My Work Permit Was Suddenly Cut Short: How Rushed Policies Hurt Migrant Workers Like Me,"My company had barely enough time to renew my work permit because the rules changed so fast. Many bosses risked hiring through illegal channels, and some of my friends ended up working too many hours or without a day off, feeling trapped and exploited. These sudden policies made life harder for all of us.",EN,Working Hours & Conditions,Sudden policy changes create problems for everyone;A clear and transparent process is key for our rights;We need strong rules and their enforcement to stay protected,https://www.malaymail.com/news/malaysia/2024/03/09/activists-warn-rushed-visa-deadline-could-force-firms-to-source-foreign-workers-unethically/122316
6,Living Like This Isn't Right: My Experience with Poor Hostel Conditions in Malaysia,"I lived in a small, crowded hostel—dirty, full of rats, with broken pipes and little fresh air. Most of us felt sick and tired, but bosses just ignored our complaints. I later learned not every place is this bad: some workers get clean and safe housing. It made me believe our lives don't have to be like this if employers and society care.",EN,Housing & Living Conditions,Where we live matters for our dignity and health;Employers must take responsibility;There are good examples to follow,https://www.therakyatpost.com/living/2022/05/31/migrant-workers-are-treated-poorly-in-malaysia-why-is-this-still-happening/
7,I Got My Passport Back—And My Freedom Too: How We Changed the Rules at Our Workplace,"Before, my boss kept my passport ""for security."" It felt like I had lost my freedom. With help from EARTHWORM FOUNDATION and some buyers, the company finally gave us back our passports. We each got our own locker to keep it safe. This small change made us feel respected and safe, and trust grew on both sides.",EN,Legal & Documents,"Having control over our own documents is a right;Real change needs everyone—workers, helpers, and management;Open talks and support helped us move forward",https://earthworm.org/news-stories/changing-passport-retention-malaysia-palm-oil
8,My Life as a Burmese Migrant Worker in Malaysia,"I left Myanmar to work in Malaysia for a better future, but I faced discrimination and long hours with little rest. Sometimes, my employer treated me unfairly and I missed my family a lot. I met others like me—together, we shared our struggles and learned to support one another.",EN,Workplace Rights & Respect,"Life as a migrant is hard, but sharing stories can bring comfort;Finding others who understand helps us feel less alone",https://www.wikiimpact.com/life-as-a-burmese-migrant-worker-in-malaysia-a-collection-of-stories/
9,"In the Pandemic, We Had Nothing But Solidarity: Indonesian Domestic Workers Surviving in Malaysia","When the pandemic hit, I lost my job as a domestic worker in Malaysia. Like many Indonesian women, I worried about food and rent. We had no help from our employers, but we supported each other by sharing meals and tips to survive. Our friendship kept us going even when things looked hopeless.",EN,Housing & Living Conditions,Solidarity and caring for each other make a big difference;Don't be afraid to ask for help from friends,https://idwfed.org/covid-19-2/support-protect-fight/covid-19-stories/malaysia-in-this-pandemic-we-got-nothing-but-solidarity-the-struggle-of-migrant-domestic-workers-in-malaysia-in-surviving-the-lockdown/
10,Stranded and Cheated: How I Became a Victim of a Recruitment Scam in Malaysia,"I left home with dreams of a good job, but once I arrived in Malaysia, I was stranded—there was no real job and no one to help. My agent lied and took my money. With other migrants, I struggled to survive, sometimes without even enough food.",EN,Legal & Documents,Always check your agent's background;We need stronger rules to stop fake recruiters,https://www.youtube.com/watch?v=N2hlQi5_yLY
