legal_id,section_id,part_label,title_short,language_code,source_id,topic_id,legal_title_plain,legal_content_plain_en
1,2,,Regulations 1980.,EN,1,1,Monthly overtime limit,"Overtime is at most 104 hours in one month; after 104 hours, your employer cannot ask you to work more."
1,2,,Regulations 1980.,EN,1,5,Monthly overtime limit,"Overtime is at most 104 hours in one month; after 104 hours, your employer cannot ask you to work more."
2,100,PART XV,"Penalties for failure or non-compliance in relation to rest days, overtime, holidays, annual leave, and sick leave",EN,2,5,Payment obligations,"Your employer must pay you for rest day work, overtime work, holiday work, annual leave, and sick leave - if they don't pay, they commit an offence and the court will order them to pay you the wages due."
3,16,PART III,Employees on estates to be provided with minimum number of days' work in each mont,EN,2,2,Minimum work days for estate workers,"If you work on an estate and get paid by days worked, your employer must give you at least 24 days of work each month or still pay you for 24 days."
4,18,PART III,Wage period,EN,2,2,Monthly wage payment frequency,Your employer must pay your wages at least once every month.
5,18A,PART III,Calculation of wages for incomplete month's work,EN,2,2,Partial month wage calculation,"If you don't work the full month, your pay will be calculated by this formula: (Monthly wages ÷ Days in wage period) * Days you actually worked."
6,19,PART III,Time of payment of wages,EN,2,2,Wage payment deadlines,"Your employer must pay your wages within 7 days after the end of each wage period, and overtime/rest day/holiday wages must be paid by the last day of the next wage period."
7,20,PART III,Payment on normal termination of contract,EN,2,2,Final wage payment on normal termination,"When your contract ends normally, your employer must pay any unpaid wages on the same day your contract ends."
8,21,PART III,on breach of contract,EN,2,2,Final wage payment on immediate termination,"When your contract ends without notice, your employer must pay all wages owed immediately on the termination day."
9,24,PART IV,Lawful deductions,EN,2,1,Wage deduction limits,"Your employer can only make deductions from your wages if allowed by law, and total deductions cannot exceed 50% of your monthly wages."
10,25,PART V,Wages to be paid through financial institution,EN,2,2,Bank payment requirement,Your employer must pay your wages through a bank account in your name or an account you choose.
11,25A,PART IV,Payment  of wages  other  than  through  financial institution,EN,2,2,Alternative payment methods,"If you request in writing, your employer can pay you with cash or cheque instead of bank transfer, but needs government approval first."
12,26,PART IV,"with whom wages paid to be spent, illegal",EN,2,2,Wage spending freedom,"Your employer cannot control where, how, or with whom you spend your wages - any contract rules about this are illegal."
13,27,PART IV,Interest on advances forbidden,EN,2,2,No interest on wage advances,Your employer cannot charge you interest or fees on wage advances.
14,28,PART IV,Restriction on places at which wages may be paid,EN,2,2,Prohibited wage payment locations,"Your employer cannot pay your wages at bars, entertainment places, or retail shops (unless you work there)."
15,60A,PART XII,Hours of work and working at night,EN,2,1,Daily and weekly working hour limits,"You cannot work more than 8 hours in one day, 45 hours in one week, or 12 hours in any single day even in emergencies; you must get at least 30 minutes break after 5 continuous hours of work."
15,60A,PART XII,Hours of work and working at night,EN,2,3,Daily and weekly working hour limits,"You cannot work more than 8 hours in one day, 45 hours in one week, or 12 hours in any single day even in emergencies; you must get at least 30 minutes break after 5 continuous hours of work."
16,60A(3),PART XII,Hours of work and working at night,EN,2,6,Standard overtime pay rate,"For overtime work, you must be paid at least 1.5 times your normal hourly rate."
17,31,PART VI,Priority of wages over other debts,EN,2,2,Wage priority in bankruptcy,"If your employer's property is sold or seized, your unpaid wages must be paid first before other debts."
18,33,PART VII,Liability of principals and contractors for wages,EN,2,2,Joint contractor liability for wages,"If contractors owe you wages, both the main contractor and subcontractor are responsible for paying you."
19,41,PART IX,Payment of allowance to nominee,EN,2,1,Maternity allowance payment delegation,Female employees can choose someone else to receive their maternity allowance payments on their behalf.
19,41,PART IX,Payment of allowance to nominee,EN,2,2,Maternity allowance payment delegation,Female employees can choose someone else to receive their maternity allowance payments on their behalf.
20,59,PART XII,Rest day,EN,2,3,Weekly rest day entitlement,You must get at least one full rest day each week.
21,60(1),PART XII,Work on rest day,EN,2,3,Rest day work restrictions,You cannot be forced to work on your rest day unless it's continuous work that cannot be stopped.
22,60(3),PART XII,Work on rest day,EN,2,6,Rest day work pay rates,"If you work on rest day: for half day or less, you get normal daily pay; for more than half day, you get 2 days' pay; for overtime on rest day, you get at least 2 times your hourly rate."
23,60B,SECTION i,Task  work,EN,2,2,Task-based payment agreements,Your employer can agree to pay you based on tasks completed instead of daily or hourly rates.
24,60I,PART IX,Interpretation,EN,2,6,Hourly rate calculation method,"Your hourly rate is calculated by dividing your monthly pay by 26 days, or weekly pay by 6 days."
25,60P,PART XII,Flexible working arrangement,EN,2,3,Flexible work arrangement applications,"You can apply to your employer for flexible working hours, days, or workplace arrangements."
26,69,PART XV,Director General's power to inquire into complaints,EN,2,1,Wage dispute investigation powers,"If you have wage disputes with your employer, the Director General can investigate and order payment - if your employer doesn't comply, they face fines up to RM50,000 plus RM1,000 daily until they pay."
26,69,PART XV,Director General's power to inquire into complaints,EN,2,5,Wage dispute investigation powers,"If you have wage disputes with your employer, the Director General can investigate and order payment - if your employer doesn't comply, they face fines up to RM50,000 plus RM1,000 daily until they pay."
27,78,PART XV,Employee's remedy when employer about to abscond,EN,2,1,Prevention of employer absconding,"If your employer tries to avoid paying wages by leaving Malaysia, the court can require them to provide security and prevent them from leaving until wages are paid."
28,87A,PART XVI,Court order for payments due to employee,EN,2,1,Court enforcement of wage payments,"If your employer is convicted of wage violations, the court can order immediate payment to you and can seize their property to pay your wages."
29,91,PART XVII,Under Parts III and IV,EN,2,1,Wage payment violations,"If your employer fails to pay wages on time, makes illegal deductions, or gives excessive wage advances, they commit an offence."
29,91,PART XVII,Under Parts III and IV,EN,2,2,Wage payment violations,"If your employer fails to pay wages on time, makes illegal deductions, or gives excessive wage advances, they commit an offence."
30,92,PART V,Under Part V,EN,2,1,General wage rule violations,"If your employer violates wage payment rules or provides illegal amenities, they commit an offence."
31,99A,PART XV,General penalty,EN,2,4,General penalty for labour violations,"For any violation of labour laws where no specific penalty is mentioned, your employer faces a fine up to RM50,000."
31,99A,PART XV,General penalty,EN,2,5,General penalty for labour violations,"For any violation of labour laws where no specific penalty is mentioned, your employer faces a fine up to RM50,000."
31,99A,PART XV,General penalty,EN,2,10,General penalty for labour violations,"For any violation of labour laws where no specific penalty is mentioned, your employer faces a fine up to RM50,000."
32,3,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. with effect from 1 February 2025",EN,4,2,Current minimum_wage rates,"The minimum_wage from 1 February 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week)."
33,4,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. for the period from 1 February 2025 to 31 July 2025",EN,4,2,Current minimum_wage rates,"The minimum_wage from 1 August 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week)."
34,5,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. with effect from 1 August 2025",EN,4,1,Current minimum_wage rates,"The minimum_wage from 1 August 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week)."
34,5,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. with effect from 1 August 2025",EN,4,2,Current minimum_wage rates,"The minimum_wage from 1 August 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week)."
35,12,,Offences,EN,6,1,Employer passport retention prohibition,Your employer cannot legally keep your passport without proper authority.
35,12,,Offences,EN,6,4,Employer passport retention prohibition,Your employer cannot legally keep your passport without proper authority.
35,12,,Offences,EN,6,10,Employer passport retention prohibition,Your employer cannot legally keep your passport without proper authority.
36,15,PART III,Employer to construct and maintain estate hospital,EN,5,8,Estate hospital construction requirement,Your employer may be required to build and maintain a hospital on or near the estate for medical treatment.
37,22,PART III,Power of Medical Officer of Health to order immunization against infectious disease,EN,5,8,Employer-funded immunization requirement,Your employer may be required to build and maintain a hospital on or near the estate for medical treatment.
38,24J,PART III,Duties and responsibilities in respect of safety and health,EN,5,8,Safety and health duties,"Your employer or accommodation provider who provides accommodation must: (a) provide separate accommodation for employees of opposite gender, (b) take necessary preventive measures to ensure employees' safety and well-being, (c) take fire safety measures according to relevant written laws, (d) ensure electrical wiring systems comply with safety requirements according to relevant written laws, (e) ensure employees receive necessary medical assistance, and (f) take preventive measures to contain infectious diseases as ordered by the Medical Officer of Health and provide immunization arrangements at employer's expense."
39,24L,Part III,Appointment of person in charge of accommodation,EN,5,8,Person in charge appointment,"Your employer or accommodation provider must appoint at least one person in charge of accommodation who will be responsible for employees' safety and well-being and management of accommodations and amenities. This person must: (a) ensure employees comply with disciplinary rules, (b) visit and inspect accommodation at least twice a month and keep inspection records as determined by the Director General, and (c) ensure an employee is taken to a clinic or hospital if the employee complains of health issues or appears unwell, and keep records of complaints as determined by the Director General."
