topic_id,legal_id,question_id,question_text_en,quiz_type,answer_id,option_text_en,option_order,option_explanation_text_en,option_is_correct,session_id,created_at,user_id,question_order
1,34,1,What is the minimum monthly wage in Malaysia from Aug 2025?,multiple_choice,1,"RM1,500",A,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,,,,1
1,34,1,What is the minimum monthly wage in Malaysia from Aug 2025?,multiple_choice,2,"RM1,600",B,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,,,,1
1,34,1,What is the minimum monthly wage in Malaysia from Aug 2025?,multiple_choice,3,"RM1,700",C,"Correct - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",True,,,,1
1,34,1,What is the minimum monthly wage in Malaysia from Aug 2025?,multiple_choice,4,"RM1,800",D,"Incorrect - From 1 Aug 2025, the minimum monthly wage is RM1,700 .",False,,,,1
1,15,2,Maximum weekly working hours allowed?,multiple_choice,1,40,A,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,,,,2
1,15,2,Maximum weekly working hours allowed?,multiple_choice,2,45,B,Correct - 45 hours per week is the limit. More than this is unlawful except within OT rules .,True,,,,2
1,15,2,Maximum weekly working hours allowed?,multiple_choice,3,48,C,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,,,,2
1,15,2,Maximum weekly working hours allowed?,multiple_choice,4,60,D,Incorrect - 45 hours per week is the limit. More than this is unlawful except within OT rules .,False,,,,2
1,35,3,"Your employer keeps your passport for ""safety"". Is this legal?",true_false,1,Yes,A,Incorrect - Employers cannot keep workers' passports; only proper authority can.,False,,,,3
1,35,3,"Your employer keeps your passport for ""safety"". Is this legal?",true_false,2,No,B,Correct - Employers cannot keep workers' passports; only proper authority can.,True,,,,3
1,70,4,How many paid public holidays must you get each year?,multiple_choice,1,8,A,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,,,,4
1,70,4,How many paid public holidays must you get each year?,multiple_choice,2,10,B,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,,,,4
1,70,4,How many paid public holidays must you get each year?,multiple_choice,3,11,C,"Correct - At least 11 paid public holidays, including 5 mandatory ones.",True,,,,4
1,70,4,How many paid public holidays must you get each year?,multiple_choice,4,12,D,"Incorrect - At least 11 paid public holidays, including 5 mandatory ones.",False,,,,4
